miRNA_id	A1	B1	A2	B2	A3	C1	C2	length
miRNA0583	0	0	0	0	0	0	1	21
miRNA0584	0	0	0	0	0	0	0	21
miRNA0585	195	165	218	772	66	247	934	21
miRNA0586	422	16	228	5	308	15	12	21
miRNA0587	0	0	0	0	0	0	0	21
miRNA0588	0	0	0	0	0	0	0	21
miRNA0589	78	208	57	89	70	157	638	21
miRNA0590	3	20	4	5	6	53	79	21
miRNA0591	14	16	10	1	19	76	138	21
miRNA0592	2	0	1	0	4	13	13	21
miRNA0593	76	3	69	1	33	1	4	21
miRNA0594	844	85	1213	155	631	194	410	21
miRNA0595	0	0	0	0	0	0	0	21
miRNA0596	0	0	0	0	0	0	0	21
miRNA0597	3	36	11	8	5	24	40	21
miRNA0598	17	70	17	23	18	75	332	21
miRNA0599	0	2	5	0	1	72	175	21
miRNA0600	20	33	31	10	13	257	1273	21
miRNA0601	65	270	107	125	57	433	853	21
miRNA0602	0	0	0	1	0	12	57	21
miRNA0603	16	42	22	15	13	133	365	21
miRNA0604	1	0	1	0	0	4	4	21
miRNA0605	374553	290022	233154	385085	404147	76105	111555	21
miRNA0606	110	167	157	148	125	123	221	21
miRNA0607	1	12	7	1	4	123	274	21
miRNA0608	1032	2837	905	908	813	8456	33619	21
miRNA0609	3	9	7	4	8	29	63	21
miRNA0610	26	283	23	51	49	119	224	21
miRNA0611	152	3359	195	624	97	1298	1582	21
miRNA0612	0	0	0	0	0	0	4	21
miRNA0613	7	11	3	6	12	60	111	21
miRNA0614	59	162	57	26	68	555	1278	21
miRNA0615	0	0	0	0	0	0	0	21
miRNA0616	0	0	1	0	0	2	0	21
miRNA0617	0	0	0	0	0	0	1	21
miRNA0618	0	0	0	0	0	1	6	21
miRNA0619	18	9	15	10	38	119	225	21
miRNA0620	3	14	3	1	2	65	102	21
miRNA0621	12	131	23	37	39	240	350	21
miRNA0622	0	0	0	0	2	15	12	21
miRNA0623	6	61	17	21	13	327	488	21
miRNA0624	79	387	150	101	98	3468	3095	21
miRNA0625	0	1	0	0	1	0	6	21
miRNA0626	1	0	0	0	0	1	4	21
miRNA0627	33	13	114	14	45	7	13	21
miRNA0628	1	0	3	0	1	0	1	21
miRNA0629	2603	339	3365	343	1967	757	862	21
miRNA0630	586	111	1228	206	269	835	1050	21
miRNA0631	41	24	45	17	36	24	17	21
miRNA0632	820	491	1501	591	914	640	769	21
miRNA0633	0	0	0	1	0	0	0	21
miRNA0634	0	0	0	0	0	0	0	21
miRNA0635	4	9	2	0	4	13	25	21
miRNA0636	0	3	0	0	1	1	4	21
miRNA0637	0	0	0	0	0	0	0	21
miRNA0638	0	0	0	0	0	0	0	21
miRNA0639	4	53	7	5	9	125	205	21
miRNA0640	0	7	0	1	1	7	11	21
miRNA0641	258	1087	234	215	108	2615	9935	21
miRNA0642	44	394	44	72	43	577	999	21
miRNA0643	0	0	0	0	0	0	0	21
miRNA0644	0	0	0	0	0	0	1	21
miRNA0645	0	0	2	0	0	0	0	21
miRNA0646	7	0	11	0	4	0	3	21
miRNA0647	0	0	0	0	0	0	0	21
miRNA0648	0	0	0	0	0	0	0	21
miRNA0649	0	0	0	0	0	0	0	21
miRNA0650	3	1	11	1	3	2	3	21
miRNA0651	4	5	6	10	2	1	2	21
miRNA0652	51	102	76	159	61	3	23	21
miRNA0653	12	46	29	52	22	6	11	21
miRNA0654	88	32	43	14	53	0	1	21
miRNA0655	0	0	0	0	0	0	0	21
miRNA0656	0	0	0	0	0	0	0	21
miRNA0657	2	8	7	5	2	9	10	21
miRNA0658	49	23	65	40	81	38	57	21
miRNA0659	0	0	0	0	0	0	0	21
miRNA0660	0	0	0	0	0	0	0	21
miRNA0661	32	2	40	2	19	17	20	21
miRNA0662	43	7	17	4	10	2	4	21
miRNA0663	0	0	0	0	0	0	0	21
miRNA0664	0	0	0	0	0	0	0	21
miRNA0665	0	0	0	0	0	0	0	21
miRNA0666	0	0	0	0	0	0	0	21
miRNA0667	0	0	0	0	0	0	1	21
miRNA0668	1	0	0	0	0	0	0	21
miRNA0669	0	0	0	0	0	0	1	21
miRNA0670	0	0	0	0	0	0	0	21
miRNA0671	0	0	0	0	0	0	1	21
miRNA0672	0	0	0	0	0	0	0	21
miRNA0673	55	10	81	4	48	5	21	21
miRNA0674	0	1	3	0	0	0	0	21
miRNA0675	62	11	90	6	52	5	21	21
miRNA0676	8	2	16	0	3	0	1	21
miRNA0677	62	11	90	6	52	5	21	21
miRNA0678	2	2	8	1	4	2	0	21
miRNA0679	6	11	16	2	20	7	9	21
miRNA0680	0	1	7	0	6	2	0	21
miRNA0681	62	11	90	6	52	5	21	21
miRNA0682	0	1	7	0	1	0	1	21
miRNA0683	20	6	30	2	19	4	2	21
miRNA0684	4	0	2	1	3	1	0	21
miRNA0685	0	2	2	0	2	1	2	21
miRNA0686	0	0	0	0	0	0	0	21
miRNA0687	2	3	2	0	5	2	1	21
miRNA0688	7	0	12	0	2	0	2	21
miRNA0689	0	3	0	0	1	0	0	21
miRNA0690	0	0	0	0	0	0	0	21
miRNA0691	0	0	0	0	0	0	0	21
miRNA0692	0	0	0	0	0	0	0	21
miRNA0693	0	0	0	0	0	0	0	21
miRNA0694	19	1	13	0	4	1	4	21
miRNA0695	0	0	0	0	0	0	0	21
miRNA0696	0	0	0	0	0	0	0	21
miRNA0697	19	7	15	5	11	6	10	21
miRNA0698	49	32	102	18	69	39	52	21
miRNA0699	0	0	0	0	1	0	0	21
miRNA0700	49	32	102	18	69	39	52	21
miRNA0701	0	0	0	0	0	0	0	21
miRNA0702	19	5	28	4	31	2	4	21
miRNA0703	19	7	15	5	11	6	10	21
miRNA0704	12	11	13	7	10	12	22	21
miRNA0705	0	0	1	0	0	0	1	21
miRNA0706	7	2	11	3	12	6	11	21
miRNA0707	2	0	0	0	1	0	0	21
miRNA0708	0	0	0	0	0	0	0	21
miRNA0709	0	0	0	0	0	0	0	21
miRNA0710	0	0	2	0	1	1	1	21
miRNA0711	1	0	0	0	0	0	0	21
miRNA0712	0	0	0	0	0	0	0	21
miRNA0713	0	0	0	0	0	0	0	21
miRNA0714	0	0	0	0	0	0	0	21
miRNA0715	0	0	0	0	0	0	0	21
miRNA0716	0	0	0	0	0	0	0	21
miRNA0717	0	0	0	0	0	0	0	21
miRNA0718	1	0	0	0	0	0	1	21
miRNA0719	0	0	0	0	0	0	0	21
miRNA0720	0	0	0	0	0	0	0	21
miRNA0721	15	77	25	108	7	6	32	21
miRNA0722	30	104	31	139	32	2	4	21
miRNA0723	0	0	0	0	0	0	0	21
miRNA0724	719	152	841	87	418	286	392	21
miRNA0725	3	2	4	0	2	40	147	21
miRNA0726	0	0	0	0	0	1	0	21
miRNA0727	10857	9106	4974	7188	5658	5671	6090	21
miRNA0728	10349	8674	4503	6837	5130	5021	5657	21
miRNA0729	3	41	2	12	3	37	67	21
miRNA0730	0	0	0	0	0	0	0	21
miRNA0731	0	0	0	0	0	0	0	21
miRNA0732	0	0	0	0	0	0	0	21
miRNA0733	72	5	77	3	38	1546	1045	21
miRNA0734	0	0	0	0	0	0	0	21
miRNA0735	0	0	0	0	0	0	0	21
miRNA0736	0	0	0	0	0	0	0	21
miRNA0737	1	0	3	0	0	0	2	21
miRNA0738	1	0	1	2	2	0	7	21
miRNA0739	1	5	2	1	4	1	6	21
miRNA0740	6	95	14	12	16	13	49	21
miRNA0741	15	22	98	39	32	428	989	21
miRNA0742	0	0	0	0	0	1	0	21
miRNA0743	5	8	2	3	4	118	284	21
miRNA0744	0	6	1	0	1	2	14	21
miRNA0745	1	10	2	6	1	61	163	21
miRNA0746	0	0	0	0	0	1	2	21
miRNA0747	16	1	22	2	10	7	10	21
miRNA0748	176	27	128	9	104	387	687	21
miRNA0749	0	71	1	71	0	0	0	21
miRNA0750	2	89	1	118	0	0	2	21
miRNA0751	241	176	259	361	185	1584	2192	21
miRNA0752	13	10	30	16	23	6	17	21
miRNA0753	1305	217	1613	687	1642	976	1251	21
miRNA0754	284	8	516	33	380	63	95	21
miRNA0755	248	196	223	129	299	22	35	21
miRNA0756	398	121	674	107	483	10	6	21
miRNA0757	2	2	0	1	0	0	0	21
miRNA0758	7	3	2	3	1	1	4	21
miRNA0759	5	1	11	2	4	2	1	21
miRNA0760	46	7	50	3	19	11	15	21
miRNA0761	0	0	0	0	0	0	0	21
miRNA0762	0	0	0	0	0	0	0	21
miRNA0763	0	5	3	7	2	2	5	21
miRNA0764	0	0	0	0	0	0	0	21
miRNA0765	275	340	563	312	303	1830	2165	21
miRNA0766	6153	3854	4803	2318	4504	5229	7576	21
miRNA0767	0	2	5	7	0	0	8	21
miRNA0768	2	18	11	14	4	32	88	21
miRNA0769	20	49	43	21	37	268	276	21
miRNA0770	0	0	1	1	0	8	20	21
miRNA0771	3	6	4	1	7	19	35	21
miRNA0772	885	2691	911	593	785	18196	26048	21
miRNA0773	818	1237	547	941	581	6	50	21
miRNA0774	38	162	34	74	16	8	13	21
miRNA0775	1	4	5	1	2	64	120	21
miRNA0776	1	1	1	0	0	7	11	21
miRNA0777	0	4	0	1	0	1	2	21
miRNA0778	2	9	0	4	2	2	4	21
miRNA0779	0	0	0	0	0	0	0	21
miRNA0780	0	0	0	0	0	0	0	21
miRNA0781	0	1	0	1	0	2	8	21
miRNA0782	0	0	0	0	0	0	0	21
miRNA0783	0	0	0	0	0	0	0	21
miRNA0784	0	0	0	0	0	0	0	21
miRNA0785	0	0	0	0	0	0	0	21
miRNA0786	0	0	0	0	0	0	0	21
miRNA0787	55	128	52	62	17	251	371	21
miRNA0788	33	34	81	13	23	48	60	21
miRNA0789	433	187	218	132	225	58	140	21
miRNA0790	51	73	146	73	62	23	48	21
miRNA0791	0	0	0	0	0	0	0	21
miRNA0792	0	0	0	0	0	0	0	21
miRNA0793	0	0	0	0	0	0	0	21
miRNA0794	1	0	0	0	3	0	1	21
miRNA0795	9	4	5	6	11	3	5	21
miRNA0796	0	0	0	0	0	0	0	21
miRNA0797	0	0	0	0	0	0	0	21
miRNA0798	0	0	0	0	0	0	0	21
miRNA0799	310	30	490	16	189	61	92	21
miRNA0800	42	0	24	0	25	0	4	21
miRNA0801	383	115	450	87	388	189	315	21
miRNA0802	3	0	2	0	1	1	1	21
miRNA0803	3	0	2	0	0	5	17	21
miRNA0804	240	4	142	5	122	947	5034	21
miRNA0805	0	0	0	0	0	0	0	21
miRNA0806	0	0	0	0	0	0	0	21
miRNA0807	7	5	6	10	1	35	147	21
miRNA0808	93	46	48	39	63	55	55	21
miRNA0809	0	6	0	0	0	3	8	21
miRNA0810	0	0	0	0	0	0	0	21
miRNA0811	0	0	0	0	0	3	0	21
miRNA0812	0	1	0	1	0	10	13	21
miRNA0813	7	21	9	8	4	67	114	21
miRNA0814	4	8	3	2	11	26	47	21
miRNA0815	0	3	0	0	0	15	59	21
miRNA0816	0	0	3	0	0	1	1	21
miRNA0817	74	74	93	9	48	21	46	21
miRNA0818	25	16	51	5	39	4	17	21
miRNA0819	2	0	6	0	3	0	0	21
miRNA0820	18	5	43	3	18	3	0	21
miRNA0821	0	0	1	0	0	0	0	21
miRNA0822	81	21	64	3	74	9	10	21
miRNA0823	1	0	0	0	0	0	0	21
miRNA0824	0	0	0	0	0	0	0	21
miRNA0825	21	0	7	0	5	0	0	21
miRNA0826	0	0	0	0	0	0	0	21
miRNA0827	0	0	0	0	0	0	0	21
miRNA0828	9	0	10	1	4	0	0	21
miRNA0829	0	0	0	0	0	0	0	21
miRNA0830	0	0	0	0	0	0	0	21
miRNA0831	1	0	1	0	0	0	2	21
miRNA0832	1	0	1	0	0	1	1	21
miRNA0833	0	0	0	0	0	0	0	21
miRNA0834	0	0	5	0	0	0	1	21
miRNA0835	0	0	0	0	0	0	0	21
miRNA0836	0	0	0	0	0	0	1	21
miRNA0837	0	0	0	0	1	0	0	21
miRNA0838	0	0	5	0	0	0	1	21
miRNA0839	1	0	0	0	0	0	0	21
miRNA0840	21	15	49	6	34	2	6	21
miRNA0841	0	1	1	1	0	0	0	21
miRNA0842	19	5	43	4	19	3	0	21
miRNA0843	0	0	0	0	0	0	0	21
miRNA0844	0	0	0	0	0	1	0	21
miRNA0845	74	74	93	9	48	21	46	21
miRNA0846	1	1	9	1	6	2	4	21
miRNA0847	0	0	0	0	0	0	0	21
miRNA0848	0	0	0	0	0	0	0	21
miRNA0849	18	6	11	5	15	8	4	21
miRNA0850	1065	5	1048	102	875	249	266	21
miRNA0851	0	0	0	0	0	0	0	21
miRNA0852	9	0	3	0	4	2	8	21
miRNA0853	4	16	1	3	2	22	26	21
miRNA0854	10	29	6	5	6	71	127	21
miRNA0855	123	17	110	18	58	26	48	21
miRNA0856	132	37	223	36	128	167	272	21
miRNA0857	121	53	187	60	83	3	5	21
miRNA0858	3	6	14	10	4	0	0	21
miRNA0859	95	22	94	13	94	283	346	21
miRNA0860	88	43	155	21	90	211	312	21
miRNA0861	0	0	3	0	3	0	0	21
miRNA0862	18	6	10	3	8	1	2	21
miRNA0863	0	0	0	0	0	0	0	21
miRNA0864	0	0	0	0	0	0	0	21
miRNA0865	2	6	2	1	2	5	4	21
miRNA0866	3	10	5	7	8	31	59	21
miRNA0867	0	0	0	0	0	0	0	21
miRNA0868	0	0	0	0	0	0	0	21
miRNA0869	0	0	0	0	0	0	0	21
miRNA0870	0	0	0	0	0	0	0	21
miRNA0871	0	0	0	0	0	0	0	21
miRNA0872	0	0	0	0	0	0	0	21
miRNA0873	0	0	0	0	0	0	0	21
miRNA0874	0	0	0	0	0	0	0	21
miRNA0875	0	0	0	0	0	0	0	21
miRNA0876	1	0	0	0	0	0	0	21
miRNA0877	3	0	0	1	0	0	1	21
miRNA0878	0	0	0	0	0	0	0	21
miRNA0879	0	0	0	0	0	0	0	21
miRNA0880	0	0	0	0	0	0	0	21
miRNA0881	0	0	0	0	0	0	0	21
miRNA0882	0	0	0	0	0	0	0	21
miRNA0883	0	0	1	0	0	0	0	21
miRNA0884	0	0	0	0	0	0	0	21
miRNA0885	0	0	0	0	0	0	0	21
miRNA0886	0	0	0	0	0	0	0	21
miRNA0887	15	9	55	22	29	78	17	21
miRNA0888	0	0	0	0	0	0	0	21
miRNA0889	0	0	0	0	0	0	0	21
miRNA0890	0	0	0	0	0	0	0	21
miRNA0891	1	0	0	0	0	0	0	21
miRNA0892	0	0	0	1	0	0	0	21
miRNA0893	0	0	0	0	1	0	0	21
miRNA0894	0	0	0	0	0	0	0	21
miRNA0895	4	1	13	0	1	0	0	21
miRNA0896	0	0	0	0	0	0	0	21
miRNA0897	0	0	0	0	0	0	0	21
miRNA0898	0	0	0	0	0	0	0	21
miRNA0899	0	0	0	0	0	0	0	21
miRNA0900	0	0	0	0	0	0	0	21
miRNA0901	0	0	0	0	0	0	0	21
miRNA0902	0	0	0	0	0	0	0	21
miRNA0903	0	0	0	0	0	0	0	21
miRNA0904	0	0	0	0	0	0	0	21
miRNA0905	7	9	12	6	11	3	4	21
miRNA0906	6	3	14	3	3	16	43	21
miRNA0907	0	0	1	0	1	0	0	21
miRNA0908	8	1	3	1	1	3	4	21
miRNA0909	0	0	0	0	0	0	2	21
miRNA0910	1	0	1	0	1	0	0	21
miRNA0911	0	0	0	0	0	0	0	21
miRNA0912	0	0	0	0	0	0	0	21
miRNA0913	2	0	1	0	4	1	1	21
miRNA0914	0	0	0	0	0	0	0	21
miRNA0915	0	0	0	0	0	0	0	21
miRNA0916	0	0	0	0	0	0	0	21
miRNA0917	0	0	1	0	0	0	0	21
miRNA0918	1	0	0	0	1	0	1	21
miRNA0919	0	0	0	0	0	0	0	21
miRNA0920	0	0	0	0	0	0	0	21
miRNA0921	26	15	18	8	22	95	235	21
miRNA0922	108	51	204	63	168	3398	4364	21
miRNA0923	4	0	0	0	1	0	2	21
miRNA0924	0	0	0	0	0	0	0	21
miRNA0925	0	0	0	0	0	0	0	21
miRNA0926	0	0	0	0	0	0	0	21
miRNA0927	0	0	0	0	0	0	0	21
miRNA0928	0	0	0	0	0	0	0	21
miRNA0929	0	0	0	0	0	0	0	21
miRNA0930	4	0	5	1	6	0	0	21
miRNA0931	0	0	0	0	0	0	0	21
miRNA0932	0	0	0	0	0	0	0	21
miRNA0933	0	0	0	0	0	0	0	21
miRNA0934	0	0	0	0	0	0	0	21
miRNA0935	4	1	4	0	6	1	0	21
miRNA0936	1	0	0	0	3	0	2	21
miRNA0937	0	0	0	0	0	0	0	21
miRNA0938	0	0	0	0	0	0	0	21
miRNA0939	0	0	0	0	0	0	0	21
miRNA0940	0	0	0	0	0	0	0	21
miRNA0941	0	0	0	0	0	0	0	21
miRNA0942	0	0	0	0	0	0	0	21
miRNA0943	0	0	0	0	0	0	0	21
miRNA0944	0	0	0	0	0	0	0	21
miRNA0945	0	0	0	0	0	0	0	21
miRNA0946	0	0	0	0	0	0	0	21
miRNA0947	0	0	0	0	0	0	0	21
miRNA0948	0	0	0	0	0	0	0	21
miRNA0949	0	0	0	0	0	0	0	21
miRNA0950	0	0	0	0	0	0	0	21
miRNA0951	0	0	0	0	0	0	0	21
miRNA0952	0	0	0	0	0	0	0	21
miRNA0953	0	0	0	0	0	0	0	21
miRNA0954	0	0	0	0	0	0	0	21
miRNA0955	11	3	26	5	15	4	4	21
miRNA0956	1969	482	1978	309	1418	708	1930	21
miRNA0957	0	1	0	1	2	2	0	21
miRNA0958	0	0	0	0	0	0	1	21
miRNA0959	0	0	0	0	0	0	0	21
miRNA0960	0	0	0	0	0	0	0	21
miRNA0961	2	1	2	0	1	1	0	21
miRNA0962	0	0	2	0	0	0	0	21
miRNA0963	0	0	0	0	0	0	0	21
miRNA0964	0	0	0	0	0	0	0	21
miRNA0965	1	0	0	0	0	0	0	21
miRNA0966	0	0	0	0	0	0	0	21
miRNA0967	0	0	0	0	0	0	0	21
miRNA0968	2	0	0	0	1	0	0	21
miRNA0969	0	0	0	0	0	0	0	21
miRNA0970	0	0	0	0	0	0	0	21
miRNA0971	0	0	0	0	0	0	0	21
miRNA0972	0	0	0	0	0	0	0	21
miRNA0973	1	0	1	0	1	6	13	21
miRNA0974	0	1	0	0	0	4	1	21
miRNA0975	356	11	122	13	103	16	57	21
miRNA0976	188	6	321	8	98	4	59	21
miRNA0977	0	0	0	0	0	0	0	21
miRNA0978	0	0	0	0	0	0	1	21
miRNA0979	0	0	0	0	0	0	0	21
miRNA0980	0	1	0	2	0	0	0	21
miRNA0981	0	0	0	0	0	0	0	21
miRNA0982	0	0	0	0	0	0	0	21
miRNA0983	24	5	30	5	26	5	20	21
miRNA0984	11043	758	5662	1290	8944	489	1145	21
miRNA0985	0	0	0	0	0	0	0	21
miRNA0986	0	0	0	0	0	0	0	21
miRNA0987	655	66	499	62	276	245	866	21
miRNA0988	4280	1009	4085	739	4502	690	1472	21
miRNA0989	0	0	0	0	0	0	0	21
miRNA0990	0	0	0	0	0	0	0	21
miRNA0991	0	5	0	3	0	5	11	21
miRNA0992	0	0	0	0	0	0	1	21
miRNA0993	0	0	0	0	0	0	0	21
miRNA0994	0	0	0	0	0	0	0	21
miRNA0995	0	0	0	0	0	0	0	21
miRNA0996	0	0	0	0	0	0	0	21
miRNA0997	7	0	13	0	2	1	11	21
miRNA0998	281	40	366	32	176	33	11	21
miRNA0999	0	0	0	0	0	0	0	21
miRNA1000	0	0	0	0	0	0	0	21
miRNA1001	0	0	0	0	0	0	0	21
miRNA1002	0	0	1	0	3	0	0	21
miRNA1003	0	0	0	0	0	0	0	21
miRNA1004	0	0	0	0	0	0	0	21
miRNA1005	0	0	0	0	0	0	0	21
miRNA1006	0	0	0	0	0	0	0	21
miRNA1007	0	0	0	0	0	0	0	21
miRNA1008	0	0	0	0	0	0	0	21
miRNA1009	0	0	0	0	0	0	0	21
miRNA1010	0	0	0	0	0	0	0	21
miRNA1011	0	0	0	0	0	0	0	21
miRNA1012	0	0	0	0	0	0	0	21
miRNA1013	25660	1105	17449	763	11747	3452	4787	21
miRNA1014	45559	6912	34134	3958	27670	8828	11272	21
miRNA1015	25660	1105	17449	763	11747	3452	4787	21
miRNA1016	374	1	751	7	307	128	94	21
miRNA1017	22	0	13	4	13	8	17	21
miRNA1018	0	0	0	0	0	0	0	21
miRNA1019	65	6	66	3	31	40	75	21
miRNA1020	33646	3602	24850	2175	24515	1951	2462	21
miRNA1021	0	0	0	0	0	0	0	21
miRNA1022	323	30	715	39	243	1	0	21
miRNA1023	95	4	115	2	51	4	14	21
miRNA1024	4198	1785	5598	1311	4114	5218	9011	21
miRNA1025	45	3	40	4	29	8	19	21
miRNA1026	731	407	1132	493	638	4927	6304	21
miRNA1027	217	11	191	3	128	28	21	21
miRNA1028	45559	6912	34134	3958	27670	8828	11272	21
