miRNA_id	A1	B1	A2	B2	A3	C1	C2	length
miRNA0131	8350	3996	6686	3344	5807	3998	8393	21
miRNA0132	134	7	109	13	83	15	23	21
miRNA0133	1324	437	2050	447	1324	504	860	21
miRNA0134	249	36	330	63	256	58	108	21
miRNA0135	5	0	7	0	4	1	0	21
miRNA0136	4357	1139	3517	928	1435	1333	2224	21
miRNA0137	0	0	0	0	0	0	1	21
miRNA0138	13	0	10	0	3	360	616	21
miRNA0139	8146	1150	4989	788	5933	1447	1898	21
miRNA0140	860	291	1147	263	900	1138	1436	21
miRNA0141	1088	2875	1244	2569	980	4955	6446	21
miRNA0142	12	14	21	9	11	5	9	21
miRNA0143	1	0	0	0	0	0	1	21
miRNA0144	0	0	0	0	0	0	0	21
miRNA0145	1	0	3	1	3	40	115	21
miRNA0146	4	7	4	2	4	58	186	21
miRNA0147	2	0	1	0	2	0	9	21
miRNA0148	1444	101	1579	73	939	224	476	21
miRNA0149	0	2	4	0	1	0	1	21
miRNA0150	1719	83	1815	41	1644	281	549	21
miRNA0151	79	7	107	12	42	21	75	21
miRNA0152	939	117	1125	47	563	533	983	21
miRNA0153	144	4	63	4	55	14	29	21
miRNA0154	2553	487	4277	325	1995	7793	9090	21
miRNA0155	437	119	665	44	321	67	46	21
miRNA0156	23554	2314	35913	1521	24755	1308	1438	21
miRNA0157	261	50	207	30	171	109	140	21
miRNA0158	115	86	42	104	59	537	459	21
miRNA0159	6	2	3	1	2	0	1	21
miRNA0160	128	29	72	31	99	185	201	21
miRNA0161	110	23	87	17	98	25	41	21
miRNA0162	148	11	157	40	123	587	650	21
miRNA0163	7	0	2	0	4	1	1	21
miRNA0164	1388	129	759	111	1145	944	1415	21
miRNA0165	13	0	13	0	8	0	0	21
miRNA0166	19446	2418	11186	1397	11096	4	15	21
miRNA0167	392	2	196	4	204	1	0	21
miRNA0168	17934	1640	11008	925	13711	11	7	21
miRNA0169	8	8	11	23	9	44	94	21
miRNA0170	370	473	387	357	410	1386	2258	21
miRNA0171	33	3	4	0	10	10	35	21
miRNA0172	0	0	0	0	0	0	0	21
miRNA0173	1	1	2	0	4	1	4	21
miRNA0174	61	8	85	7	63	23	61	21
miRNA0175	126	1	249	5	109	7	17	21
miRNA0176	7047	427	13451	1298	6995	1741	2394	21
miRNA0177	8	2	14	0	3	2	3	21
miRNA0178	1	0	2	0	1	2	0	21
miRNA0179	0	3	5	1	2	1	3	21
miRNA0180	211	88	1067	41	643	152	257	21
miRNA0181	0	0	0	0	0	0	0	21
miRNA0182	0	0	0	0	0	0	0	21
miRNA0183	0	0	0	0	0	0	0	21
miRNA0184	0	0	0	0	0	0	0	21
miRNA0185	0	0	0	0	0	0	0	21
miRNA0186	0	0	0	0	0	0	0	21
miRNA0187	0	0	0	0	2	0	0	21
miRNA0188	0	0	0	0	0	0	0	21
miRNA0189	0	0	0	0	0	0	0	21
miRNA0190	0	0	0	0	0	0	0	21
miRNA0191	0	0	0	0	0	0	0	21
miRNA0192	0	0	0	0	0	0	0	21
miRNA0193	0	0	0	0	0	0	0	21
miRNA0194	0	0	0	0	0	0	0	21
miRNA0195	0	0	0	0	0	0	0	21
miRNA0196	0	0	0	0	0	0	0	21
miRNA0197	160	13	183	4	86	2	18	21
miRNA0198	8304	814	16697	594	8909	108	123	21
miRNA0199	0	0	0	0	0	0	0	21
miRNA0200	2	1	6	0	5	0	0	21
miRNA0201	6	1	2	0	2	10	29	21
miRNA0202	632	178	975	473	487	280	1584	21
miRNA0203	0	0	0	0	0	0	0	21
miRNA0204	0	0	0	0	0	0	0	21
miRNA0205	0	0	0	0	0	0	0	21
miRNA0206	0	0	0	0	0	0	0	21
miRNA0207	0	0	0	0	0	0	0	21
miRNA0208	0	0	0	0	0	0	0	21
miRNA0209	0	0	0	0	0	0	0	21
miRNA0210	0	0	0	0	0	0	0	21
miRNA0211	0	0	0	0	0	0	0	21
miRNA0212	0	0	0	0	0	0	0	21
miRNA0213	0	0	0	0	0	0	0	21
miRNA0214	0	0	0	0	0	0	0	21
miRNA0215	0	0	0	0	0	0	1	21
miRNA0216	0	0	0	0	0	0	0	21
miRNA0217	0	0	0	0	0	0	0	21
miRNA0218	0	0	0	0	0	0	0	21
miRNA0219	1	2	8	1	2	0	1	21
miRNA0220	26	17	23	35	30	7	9	21
miRNA0221	11	3	26	2	12	5	13	21
miRNA0222	3772	1013	4284	1073	2761	7829	8884	21
miRNA0223	0	0	0	0	0	0	2	21
miRNA0224	601	185	462	216	504	279	614	21
miRNA0225	0	0	3	0	1	1	0	21
miRNA0226	0	0	0	0	0	0	0	21
miRNA0227	0	0	0	0	0	0	0	21
miRNA0228	0	0	0	0	0	0	0	21
miRNA0229	0	0	1	0	1	0	0	21
miRNA0230	61	4	35	11	45	1	6	21
miRNA0231	196	49	377	124	178	0	9	21
miRNA0232	207	11	188	19	203	12	36	21
miRNA0233	0	0	0	0	0	0	0	21
miRNA0234	1	1	3	3	0	1	0	21
miRNA0235	4	0	1	0	6	0	0	21
miRNA0236	0	0	0	0	0	0	0	21
miRNA0237	3	0	1	0	2	1	0	21
miRNA0238	0	0	0	0	0	0	0	21
miRNA0239	1	0	2	0	1	0	0	21
miRNA0240	3	0	0	2	3	0	1	21
miRNA0241	20	3	39	3	21	24	29	21
miRNA0242	8	0	3	0	4	4	2	21
miRNA0243	11	1	15	3	14	8	9	21
miRNA0244	0	0	0	0	0	0	0	21
miRNA0245	0	0	1	0	1	0	0	21
miRNA0246	0	0	0	0	0	0	0	21
miRNA0247	0	0	0	0	0	0	0	21
miRNA0248	155	3	73	7	79	86	129	21
miRNA0249	0	0	0	0	0	0	0	21
miRNA0250	154	3	73	6	78	86	129	21
miRNA0251	1	0	0	0	0	0	0	21
miRNA0252	0	0	0	0	0	0	0	21
miRNA0253	2	0	2	0	1	0	1	21
miRNA0254	2	2	5	0	1	0	0	21
miRNA0255	0	0	0	0	0	0	0	21
miRNA0256	0	0	0	0	1	1	6	21
miRNA0257	62	18	97	34	24	286	331	21
miRNA0258	4	1	12	1	5	9	23	21
miRNA0259	409	330	444	522	332	416	732	21
miRNA0260	339	57	408	60	343	454	808	21
miRNA0261	0	0	0	0	0	0	0	21
miRNA0262	5	0	5	0	8	9	13	21
miRNA0263	5	0	4	0	5	4	2	21
miRNA0264	0	1	1	0	1	6	2	21
miRNA0265	0	0	0	0	0	0	0	21
miRNA0266	0	0	0	0	0	0	0	21
miRNA0267	0	0	0	0	0	0	0	21
miRNA0268	100	13	70	3	112	15	32	21
miRNA0269	409	330	444	522	332	416	732	21
miRNA0270	339	57	408	60	343	454	595	21
miRNA0271	2	0	4	0	1	0	0	21
miRNA0272	0	0	0	0	0	0	0	21
miRNA0273	0	0	0	0	0	0	0	21
miRNA0274	3	0	7	0	6	1	0	21
miRNA0275	0	0	1	0	0	0	0	21
miRNA0276	0	0	3	0	0	0	0	21
miRNA0277	1	0	0	0	0	0	0	21
miRNA0278	0	0	0	0	0	1	0	21
miRNA0279	0	0	0	0	0	0	0	21
miRNA0280	0	0	2	0	1	0	0	21
miRNA0281	5	1	1	0	2	3	4	21
