Gene_id	A1	B1	A2	B2	length
G08197	1	16	21	5	2694
G08198	0	0	0	0	444
G08199	0	2	1	0	1407
G08200	52	285	42	23	993
G08201	300	1013	239	100	2325
G08202	450	1353	309	191	1227
G08203	74	974	101	14	5385
G08204	87	716	136	24	1362
G08205	30	197	52	14	948
G08206	0	0	1	0	387
G08207	21	149	40	6	1491
G08208	14	41	35	4	1890
G08209	2	9	5	0	1275
G08210	33	85	58	6	1884
G08211	3	15	7	1	2301
G08212	1808	2120	7356	709	1347
G08213	0	3	3	0	2070
G08214	0	6	2	0	1449
G08215	691	3339	3142	862	1287
G08216	0	1	3	0	1296
G08217	1	1	0	0	348
G08218	3	15	5	0	978
G08219	193	255	274	41	1182
G08220	744	1951	142	44	897
G08221	4694	7101	2099	277	1362
G08222	58	140	98	8	1035
G08223	143	782	54	11	597
G08224	1022	3169	1921	1266	594
G08225	179	264	495	119	1359
G08226	42	156	210	57	735
G08227	102	204	340	43	1200
G08228	33	38	395	81	1152
G08229	24	53	543	122	1548
G08230	137	119	196	21	594
G08231	39	73	51	18	1197
G08232	89	136	328	26	930
G08233	940	635	4639	125	3825
G08234	0	1	5	1	507
G08235	69	96	209	27	615
G08236	15	46	149	8	4005
G08237	536	843	962	462	1314
G08238	304	523	1265	209	5154
G08239	0	3	7	4	384
G08240	1	10	3	2	819
G08241	695	1616	4924	952	702
G08242	5	11	2	0	2103
G08243	0	9	18	0	1779
G08244	1	2	1	0	549
G08245	0	4	1	0	702
G08246	1	3	1	0	993
G08247	2	2	2	3	1068
G08248	1	6	8	0	2622
G08249	0	0	0	0	267
G08250	130	319	234	73	426
G08251	286	1449	455	347	1176
G08252	152	475	177	84	1023
G08253	934	2104	2899	547	1293
G08254	1292	1697	2077	594	1149
G08255	0	6	2	1	1674
G08256	7	138	70	2	1347
G08257	228	799	730	448	696
G08258	109	175	474	47	1311
G08259	16	54	55	18	1194
G08260	0	5	3	0	441
G08261	2	3	5	1	1470
G08262	0	10	10	0	405
G08263	1006	1064	5005	758	1245
G08264	4	4	2	0	1032
G08265	0	1	1	0	810
G08266	554	2414	1518	969	723
G08267	0	2	0	1	2235
G08268	3	29	10	13	1272
G08269	0	2	0	1	462
G08270	1	8	5	1	1092
G08271	33	39	69	33	2274
G08272	115	222	186	42	1125
G08273	465	494	693	103	1086
G08274	1785	3062	2063	623	3120
G08275	1126	2167	1291	347	1638
G08276	1	1	0	0	1224
G08277	1	10	1	0	597
G08278	0	0	0	0	870
G08279	17	72	29	1	1482
G08280	9	44	24	2	1062
G08281	0	1	0	0	378
G08282	2	13	18	3	3234
G08283	373	2221	365	480	387
G08284	1	0	2	0	1206
G08285	7	71	11	12	1032
G08286	3	83	9	14	1434
G08287	52	87	725	68	1668
G08288	0	0	1	0	660
G08289	0	0	0	0	402
G08290	0	0	1	0	315
G08291	1	1	1	0	216
G08292	0	0	0	0	330
G08293	2	6	3	0	1047
G08294	215	341	414	41	1689
G08295	1	4	4	0	1458
G08296	1	0	0	0	990
G08297	0	8	3	0	1764
G08298	0	3	2	0	1554
G08299	15	17	20	6	834
G08300	50	74	140	40	564
G08301	1878	1852	7172	528	1416
G08302	2063	1807	11383	1030	1443
G08303	383	727	678	353	1584
G08304	1	4	1	0	624
G08305	452	601	1451	179	1782
G08306	129	283	462	74	1845
G08307	150	279	456	78	2115
G08308	1273	2510	3901	732	1767
G08309	122	238	344	131	1278
G08310	479	787	1352	145	2214
G08311	56	142	197	16	2538
G08312	369	331	1095	224	870
G08313	190	345	491	74	438
G08314	560	761	1444	199	1290
G08315	960	1164	3007	338	1017
G08316	42	64	115	16	318
G08317	266	474	757	128	1152
G08318	1845	1567	6212	715	3573
G08319	432	821	966	207	1245
G08320	2002	1951	6279	480	3030
G08321	410	2532	1664	833	915
G08322	4	11	10	3	1392
G08323	111	205	455	53	1707
G08324	11214	11118	37501	3704	780
G08325	186	99	637	38	537
G08326	2357	1888	13637	997	807
G08327	3870	5603	14901	1771	1737
G08328	4	6	8	3	588
G08329	1099	1144	3959	231	840
G08330	706	646	1340	371	408
G08331	856	1284	2094	272	1845
G08332	16	47	32	4	1224
G08333	564	417	2369	87	3132
G08334	12	22	37	4	1491
G08335	7	15	15	17	573
G08336	120	228	268	219	276
G08337	2455	2463	3679	653	1200
G08338	1509	3012	2999	906	3447
G08339	2145	2946	6053	764	3387
G08340	1122	1586	2649	479	1701
G08341	452	758	1233	167	2682
G08342	58	80	179	14	1551
G08343	0	1	4	0	462
G08344	190	274	522	106	1773
G08345	232	269	480	59	1839
G08346	228	330	736	134	1740
G08347	0	2	14	1	288
G08348	44	190	174	31	1461
G08349	113	246	442	44	2202
G08350	16	82	26	10	1239
G08351	36	69	36	6	1272
G08352	36	99	99	38	1473
G08353	200	272	517	109	792
G08354	1	2	0	0	294
G08355	21	52	41	11	1530
G08356	0	10	6	0	414
G08357	28	391	66	26	1125
G08358	193	375	417	107	2595
G08359	115	150	240	47	2217
G08360	5424	8834	19302	2175	1536
G08361	12098	13355	45544	4774	4617
G08362	372	636	1519	196	1059
G08363	3913	9787	15679	2361	1758
G08364	215	307	722	96	1254
G08365	660	936	2164	267	1473
G08366	2	13	15	0	2217
G08367	474	525	1537	109	228
G08368	528	601	1995	207	1758
G08369	3105	3856	9678	954	3768
G08370	328	1830	2020	535	786
G08371	2012	2214	7550	736	3420
G08372	83	127	217	31	738
G08373	60	161	252	19	888
G08374	45	10	611	6	612
G08375	7	18	49	6	1119
G08376	501	437	2128	251	1695
G08377	446	461	1377	87	1155
G08378	78	193	637	226	1491
G08379	725	776	2726	254	717
G08380	126	174	368	39	1047
G08381	779	675	4706	186	1812
G08382	944	1003	3260	279	3795
G08383	353	1200	850	353	1677
G08384	444	264	2819	108	1287
G08385	156	183	477	54	1200
G08386	227	471	677	55	789
G08387	1033	1719	2736	528	2094
G08388	96	262	281	51	2229
G08389	114	118	457	26	1125
G08390	7586	5193	24820	2987	402
G08391	5	15	28	1	1134
G08392	680	782	2821	377	1380
G08393	3289	5355	9468	1520	1530
G08394	599	845	2863	138	702
G08395	3	13	25	5	1017
G08396	277	218	1261	125	948
G08397	1184	1638	3113	834	831
G08398	1729	3059	10854	684	1257
G08399	25	74	45	10	1545
G08400	0	0	0	0	342
G08401	1879	2678	5154	469	2355
G08402	674	603	2064	306	570
G08403	566	588	2087	173	1080
G08404	45	69	192	12	984
G08405	414	600	1483	169	3243
G08406	626	723	2073	464	753
G08407	1353	1629	5845	437	654
G08408	376	595	1276	105	1539
G08409	822	1330	2803	332	507
G08410	1763	2412	5665	838	4089
G08411	1399	1699	4085	607	465
G08412	2181	2971	5596	655	5088
G08413	7	5	4	1	705
G08414	44	68	133	8	1158
G08415	152	188	460	90	1032
G08416	475	812	725	132	1731
G08417	84	147	142	28	771
G08418	94	105	880	52	429
G08419	1795	2496	5515	564	1590
G08420	1590	2031	4929	748	3555
G08421	1205	1122	4103	398	1128
G08422	142	213	1404	178	1101
G08423	299	365	2576	147	975
G08424	370	557	1866	121	2529
G08425	393	498	985	153	1035
G08426	83	150	383	21	1047
G08427	2380	1986	10021	750	1794
G08428	4220	4382	13150	1968	2604
G08429	277	308	712	108	363
G08430	1033	1185	3913	303	1773
G08431	691	637	3324	111	1890
G08432	199	226	1287	81	423
G08433	421	640	1321	126	1836
G08434	1094	1597	3348	409	2862
G08435	810	917	2455	223	960
G08436	664	1086	3546	169	310
G08437	675	768	2900	252	1749
G08438	372	622	1495	106	3483
G08439	1201	1271	6232	401	915
G08440	80	128	250	37	819
G08441	721	885	1967	232	2868
G08442	352	568	1115	113	1215
G08443	1344	970	3549	397	744
G08444	4122	5142	16194	1797	1575
G08445	598	700	2114	164	1230
G08446	623	907	2075	214	5415
G08447	79	217	185	27	837
G08448	116	122	690	72	1641
G08449	1028	1772	2888	401	3336
G08450	970	1743	3894	560	1644
G08451	348	538	1321	108	2823
G08452	205	282	719	81	1929
G08453	3474	4165	12263	1708	2778
G08454	487	1304	1134	348	1119
G08455	306	287	992	64	690
G08456	5301	6799	14719	2085	4404
G08457	409	696	1471	128	2967
G08458	1840	1760	6279	714	2643
G08459	286	508	1764	308	1491
G08460	978	967	4366	222	1932
G08461	312	430	581	225	972
G08462	297	360	774	125	1161
G08463	1804	2986	6563	651	2760
G08464	256	355	643	145	1137
G08465	164	213	353	65	738
G08466	739	1350	2980	225	663
G08467	4286	2975	21039	1847	1407
G08468	2463	2466	7275	1137	708
G08469	9	7	12	3	1242
G08470	51	132	107	29	1893
G08471	4	16	13	6	1392
G08472	3	14	3	2	240
G08473	211	311	430	101	1650
G08474	35	73	133	8	537
G08475	1351	1107	3883	400	795
G08476	1534	2832	7527	741	1110
G08477	365	756	880	164	1323
G08478	3000	3061	11610	939	1203
G08479	126	214	323	48	882
G08480	2082	1768	5820	1035	1623
G08481	384	829	1255	395	1077
G08482	283	315	971	81	2112
G08483	614	656	1879	238	1416
G08484	309	488	941	82	522
G08485	961	1938	3484	620	2028
G08486	146	267	368	55	1698
G08487	212	503	421	21	2118
G08488	2480	2963	9883	1014	1560
G08489	786	727	3156	358	1329
G08490	4051	4143	12378	1750	465
G08491	233	118	1108	71	756
G08492	434	654	1603	171	873
G08493	232	303	902	74	1083
G08494	176	246	653	82	1206
G08495	119	176	404	58	1134
G08496	48	68	107	10	1260
G08497	199	294	786	62	252
G08498	924	1364	13040	783	1752
G08499	1837	2034	7912	527	2373
G08500	366	570	1127	88	1917
G08501	928	1678	2929	431	1584
G08502	394	586	1251	154	2067
G08503	109	306	399	50	2553
G08504	12	33	41	4	1149
G08505	82	77	116	33	1104
G08506	53	108	183	36	741
G08507	196	258	507	159	1101
G08508	14	56	87	17	1320
G08509	393	591	1055	139	3663
G08510	258	400	735	111	2856
G08511	3175	3053	12480	1286	1506
G08512	602	313	4632	258	663
G08513	706	672	2201	188	2019
G08514	387	1022	1066	158	906
G08515	18	10	38	2	2019
G08516	814	1354	2621	342	3372
G08517	2367	2353	9160	689	171
G08518	842	1609	2594	555	951
G08519	2882	2253	6495	409	2694
G08520	40	158	78	11	885
G08521	56	122	188	32	1110
G08522	14	12	27	0	1077
G08523	1833	1834	10331	1481	1170
G08524	55	159	296	20	324
G08525	5363	7089	24380	2190	3318
G08526	1348	1599	4735	526	2286
G08527	154	448	379	76	3747
G08528	2534	5285	5945	1286	5823
G08529	438	645	1290	299	762
G08530	11	27	14	5	1239
G08531	4	4	11	2	162
G08532	447	747	1225	146	1605
G08533	1746	2284	5210	770	666
G08534	190	489	573	88	936
G08535	578	1050	1920	377	1044
G08536	41	91	100	10	2970
G08537	382	502	1005	229	699
G08538	576	256	3458	150	1578
G08539	558	1998	2764	599	3438
G08540	105	141	409	139	2379
G08541	606	614	1788	141	1824
G08542	209	436	631	119	930
G08543	0	0	0	0	231
G08544	526	1045	1775	242	1479
G08545	177	339	565	84	1569
G08546	880	1234	2541	408	2637
G08547	95	170	561	33	1338
G08548	402	462	1021	118	1881
G08549	36	105	12	3	1662
G08550	19	52	24	6	441
G08551	3	4	10	1	2124
G08552	5	26	10	1	1068
G08553	347	218	1809	64	1179
G08554	1627	935	13631	418	1017
G08555	283	200	1709	78	2364
G08556	18	26	40	5	2073
G08557	8	58	38	5	1596
G08558	0	2	6	0	1530
G08559	0	0	0	0	459
G08560	4	15	32	11	1026
G08561	0	0	0	0	354
G08562	0	0	1	0	846
G08563	11	13	7	2	900
G08564	52	145	100	187	1902
G08565	2	8	5	6	771
G08566	11	33	36	14	516
G08567	28	74	89	13	1938
G08568	39	106	114	26	576
G08569	839	1370	2178	916	678
G08570	192	388	446	85	1245
G08571	0	6	4	2	1296
G08572	27	125	159	15	3108
G08573	4	26	34	10	1131
G08574	1	10	37	3	840
G08575	16465	17921	35997	11759	1452
G08576	104	186	153	40	1995
G08577	61	99	58	27	2103
G08578	22	82	32	14	1626
G08579	4	28	8	4	1605
G08580	4	5	8	0	801
G08581	0	10	5	2	906
G08582	13	74	41	32	1290
G08583	1	4	0	1	1350
G08584	51	68	127	13	915
G08585	0	5	0	0	1242
G08586	0	0	0	0	216
G08587	1	8	0	1	441
G08588	2	25	27	3	1641
G08589	2	14	9	0	2607
G08590	2028	1507	13561	418	1746
G08591	2735	4168	9985	1000	2094
G08592	248	460	241	65	957
G08593	692	654	2511	522	1683
G08594	1760	2268	4306	699	3621
G08595	1320	1582	6339	437	915
G08596	147	184	531	70	270
G08597	99	155	359	44	2469
G08598	3888	4918	13369	1204	447
G08599	124	261	836	162	1494
G08600	1591	1559	6639	579	1704
G08601	240	276	1009	100	1050
G08602	146	333	418	63	2118
G08603	4882	8968	15093	2359	3612
G08604	2026	1751	7892	677	1722
G08605	3531	3481	13796	1209	1581
G08606	545	787	2584	301	993
G08607	898	850	2599	169	1137
G08608	819	794	2459	264	1089
G08609	183	188	722	98	810
G08610	1667	1785	5115	523	894
G08611	1894	2548	6293	684	3339
G08612	576	730	2181	151	1545
G08613	3143	3555	16843	1051	1245
G08614	1014	617	7092	368	1215
G08615	3345	5382	11354	1414	1083
G08616	826	1102	2165	394	2823
G08617	47	290	266	87	219
G08618	51	265	253	50	693
G08619	3246	3272	10958	859	2199
G08620	292	245	1316	74	2832
G08621	236	342	781	92	2073
G08622	773	1192	2464	237	3471
G08623	42	105	128	23	1506
G08624	30	52	48	5	369
G08625	76	190	190	93	321
G08626	713	3134	1766	642	2640
G08627	635	852	1659	409	720
G08628	1547	1367	8310	530	2709
G08629	5	16	34	5	1413
G08630	464	672	1282	139	2655
G08631	142	195	570	46	1086
G08632	60	66	128	7	657
G08633	306	452	1182	199	1050
G08634	40440	40786	193798	11401	3198
G08635	2382	2609	9152	782	1455
G08636	506	862	1788	165	708
G08637	3214	4496	8380	818	6015
G08638	116	212	531	25	297
G08639	9086	8220	38258	3041	1458
G08640	1171	2588	3097	1025	468
G08641	269	239	679	138	735
G08642	7383	10917	26331	2100	1023
G08643	141	577	645	154	3030
G08644	1	13	6	0	669
G08645	1446	1976	2973	486	2481
G08646	137	112	335	44	321
G08647	1145	1629	3073	421	3117
G08648	396	693	1476	189	1362
G08649	308	167	2348	45	870
G08650	68	145	276	19	759
G08651	8	9	41	7	1947
G08652	37	43	31	14	1017
G08653	26	54	57	13	1497
G08654	140	535	505	88	984
G08655	2236	3023	7140	935	849
G08656	80	173	222	75	1047
G08657	382	487	893	231	759
G08658	133	406	477	88	1365
G08659	234	474	825	127	1752
G08660	12314	5848	35912	2842	1371
G08661	4174	4320	10806	1552	2151
G08662	291	325	884	196	732
G08663	1411	1169	6252	1133	504
G08664	915	1382	2624	359	3135
G08665	1261	1691	4716	296	2934
G08666	317	493	1247	174	288
G08667	261	363	594	61	627
G08668	0	1	0	0	513
G08669	1328	1080	2860	301	549
G08670	2176	1840	8247	562	4074
G08671	134	242	206	33	1116
G08672	145	158	406	143	555
G08673	764	1444	2006	374	1218
G08674	276	199	1770	81	1734
G08675	0	0	0	0	216
G08676	671	624	528	462	831
G08677	456	995	1210	218	2079
G08678	7	37	41	10	1572
G08679	874	1461	5516	2079	1488
G08680	280	471	3561	1921	1089
G08681	8	21	20	0	2220
G08682	2	6	19	5	705
G08683	14	14	56	12	543
G08684	11	18	25	4	1008
G08685	0	3	2	0	1218
G08686	5	17	5	1	1437
G08687	4	33	18	0	1341
G08688	7	15	8	1	1743
G08689	13	22	47	10	681
G08690	25	90	47	30	1026
G08691	11	33	19	3	780
G08692	117	271	288	91	1206
G08693	5	33	78	58	3774
G08694	4	8	12	2	387
G08695	19	71	47	2	957
G08696	74	160	212	30	1767
