Gene_id	A1	B1	A2	B2	length
G00001	0	0	0	0	1260
G00002	1	0	1	1	612
G00003	53	81	567	103	762
G00004	253	347	1537	146	1488
G00005	0	0	1	0	384
G00006	0	3	5	0	369
G00007	0	8	7	0	1296
G00008	1	3	2	0	315
G00009	25	229	75	26	1398
G00010	10	28	50	13	1092
G00011	1726	3153	1668	346	1215
G00012	1590	2596	2056	613	1740
G00013	9	36	8	9	2409
G00014	131	181	412	42	606
G00015	64	153	182	34	1419
G00016	31	46	156	43	1038
G00017	1256	1457	5766	468	1617
G00018	22	23	148	30	357
G00019	2	34	65	12	591
G00020	12	21	8	0	2274
G00021	0	4	1	1	633
G00022	0	3	1	0	705
G00023	3	7	4	1	654
G00024	134	158	298	40	759
G00025	11	31	12	2	1815
G00026	1	2	10	1	408
G00027	8	30	21	2	1692
G00028	5	28	2	4	1125
G00029	1	1	0	0	1221
G00030	0	2	1	0	456
G00031	0	1	0	0	1200
G00032	0	3	13	6	1596
G00033	58	111	130	10	2499
G00034	1	7	3	1	1692
G00035	1	11	4	0	1581
G00036	14	9	27	6	489
G00037	0	2	3	0	1557
G00038	0	7	5	2	1059
G00039	3	14	15	4	1197
G00040	1	5	1	0	1482
G00041	1	32	20	0	1467
G00042	96	143	157	47	786
G00043	106	231	219	46	1500
G00044	193	231	265	67	621
G00045	560	774	560	382	726
G00046	491	625	532	123	669
G00047	1270	1552	2199	320	915
G00048	9	8	20	10	1185
G00049	99	195	120	59	201
G00050	187	370	422	78	1365
G00051	0	4	5	1	1494
G00052	878	1487	1543	475	1635
G00053	21	49	73	19	195
G00054	48	93	175	34	1251
G00055	5	31	31	6	804
G00056	216	710	319	83	5865
G00057	11	47	34	8	567
G00058	0	1	1	0	753
G00059	881	1881	1660	703	585
G00060	101	130	433	73	1320
G00061	74	108	234	46	1080
G00062	211	207	746	68	1818
G00063	76	112	181	27	1101
G00064	0	0	0	0	156
G00065	141	247	364	54	2517
G00066	1247	1608	4182	673	1761
G00067	125	128	288	48	1014
G00068	319	350	1968	207	2319
G00069	22	37	59	15	1080
G00070	1871	2517	6928	1127	1374
G00071	82	81	234	20	1239
G00072	20	18	47	10	2031
G00073	6	7	7	0	1395
G00074	1105	1678	3368	1050	1140
G00075	307	931	1218	262	1539
G00076	254	356	735	91	3129
G00077	0	0	0	0	153
G00078	2129	3423	7740	774	3498
G00079	431	747	799	154	1374
G00080	3707	3240	15905	1079	1674
G00081	394	521	1526	170	1887
G00082	479	735	1371	166	885
G00083	4	14	19	9	855
G00084	0	2	4	1	1026
G00085	863	915	2183	482	666
G00086	2	2	9	0	1113
G00087	2	1	0	0	1278
G00088	323	239	1375	150	984
G00089	216	429	550	63	2520
G00090	180	535	486	65	942
G00091	782	902	2417	286	744
G00092	3	12	13	2	948
G00093	13	28	28	2	300
G00094	220	304	1052	114	1281
G00095	13	21	26	6	1086
G00096	15	20	41	2	1572
G00097	130	199	367	50	1302
G00098	154	159	596	72	405
G00099	44	42	225	11	1074
G00100	182	321	523	86	1071
G00101	2	17	3	2	540
G00102	699	332	3195	156	1548
G00103	20	38	89	4	2523
G00104	1645	2063	5907	544	2367
G00105	210	198	630	52	864
G00106	7046	5414	39647	2344	2223
G00107	78	119	391	67	789
G00108	861	1137	2522	313	2544
G00109	12	21	41	1	1446
G00110	8106	10541	25954	2494	960
G00111	1091	1862	1963	242	1170
G00112	379	872	894	172	873
G00113	39	107	118	23	3606
G00114	751	2955	4102	757	1131
G00115	221	1051	599	245	2127
G00116	460	777	961	189	2508
G00117	602	1754	1052	307	4839
G00118	1410	1895	7401	628	1251
G00119	86	91	451	28	702
G00120	347	618	1078	180	1917
G00121	214	395	739	85	3570
G00122	1233	1506	5060	358	615
G00123	168	562	483	113	1074
G00124	809	439	5355	313	1131
G00125	0	0	0	0	312
G00126	0	4	5	3	480
G00127	0	2	1	0	759
G00128	0	21	6	1	660
G00129	1	2	0	1	567
G00130	0	4	5	0	471
G00131	728	1657	2319	419	2343
G00132	117	253	348	47	2115
G00133	6235	3549	29887	2532	321
G00134	1	5	9	2	423
G00135	0	5	4	0	678
G00136	0	0	1	1	690
G00137	386	898	1237	168	915
G00138	790	1757	2105	408	1335
G00139	17	49	101	13	1638
G00140	69	114	193	23	1731
G00141	22	35	63	10	876
G00142	17	16	10	3	357
G00143	223	321	791	54	1563
G00144	444	542	1465	137	2532
G00145	900	1146	4566	378	1410
G00146	348	369	1477	220	1368
G00147	273	371	960	120	1155
G00148	36	83	127	13	864
G00149	124	201	398	44	1767
G00150	828	1186	3047	217	3603
G00151	136	225	514	50	1545
G00152	348	544	1063	256	1626
G00153	932	1810	2667	379	3189
G00154	0	0	0	0	252
G00155	28	150	161	51	1512
G00156	2735	4040	6690	856	3777
G00157	12420	10464	56862	3732	1347
G00158	92	125	310	105	762
G00159	980	2198	2313	460	2844
G00160	615	1206	1353	240	1020
G00161	712	975	2850	309	2139
G00162	597	905	2129	359	759
G00163	471	233	3171	168	978
G00164	773	546	1426	223	468
G00165	1015	600	7504	332	1629
G00166	90	210	290	34	1131
G00167	2	14	5	0	1548
G00168	1	7	10	0	1134
G00169	1305	1574	4289	465	963
G00170	88	127	226	33	1245
G00171	195	373	710	63	1398
G00172	176	169	1101	111	807
G00173	115	329	685	43	996
G00174	0	0	1	0	1188
G00175	1	1	0	0	531
G00176	1521	2252	5458	805	2271
G00177	3	5	7	2	987
G00178	67	105	125	12	1140
G00179	214	305	486	111	765
G00180	46	170	182	38	612
G00181	641	1244	2191	283	1959
G00182	449	718	2159	254	2304
G00183	27	80	148	29	798
G00184	1	21	12	4	825
G00185	287	527	1129	89	1203
G00186	269	251	682	93	1095
G00187	709	778	2288	540	753
G00188	363	577	1456	239	1071
G00189	864	1378	2244	461	1155
G00190	393	785	1103	141	2259
G00191	466	378	1577	248	651
G00192	268	361	900	118	1341
G00193	24	42	64	22	1278
G00194	0	6	12	0	246
G00195	664	926	2604	349	1284
G00196	1423	2445	4668	826	798
G00197	763	575	2472	268	1761
G00198	1373	2416	4276	893	3366
G00199	501	255	2864	225	1674
G00200	828	1193	2980	329	2646
G00201	444	338	1411	206	240
G00202	513	2480	1279	513	3318
G00203	307	274	938	161	732
G00204	687	3852	4589	578	549
G00205	412	861	1383	152	3306
G00206	2114	2606	7052	1083	858
G00207	989	1369	3750	476	2238
G00208	310	513	901	119	1263
G00209	169	504	419	133	1584
G00210	4985	6414	14031	1516	498
G00211	1252	1368	5494	373	198
G00212	534	595	1716	393	1467
G00213	499	602	1402	151	1431
G00214	73	160	243	56	1965
G00215	673	1455	2128	387	1497
G00216	5	10	11	0	681
G00217	89	227	314	50	2817
G00218	72	181	144	25	444
G00219	2	2	3	0	504
G00220	1060	1976	6932	1283	1557
G00221	39	39	50	4	945
G00222	0	1	0	0	264
G00223	0	0	0	0	420
G00224	0	0	0	0	183
G00225	0	3	1	0	804
G00226	0	3	0	0	1326
G00227	0	0	2	0	429
G00228	1	4	3	0	1032
G00229	0	4	4	1	351
G00230	1	4	1	0	1785
G00231	0	0	0	0	222
G00232	0	0	3	0	1023
G00233	656	3372	5224	1480	3036
G00234	220	937	1307	420	837
G00235	650	1159	2458	348	1962
G00236	2020	3263	6663	1113	4905
G00237	8771	7992	33181	2451	513
G00238	2738	4181	9772	977	2343
G00239	345	514	1166	128	1503
G00240	210	248	633	58	744
G00241	401	354	1310	171	891
G00242	239	458	834	137	1008
G00243	764	1031	1925	227	2418
G00244	470	561	1569	168	1086
G00245	0	0	0	0	315
G00246	0	1	0	0	675
G00247	863	871	2583	259	1122
G00248	2314	3823	8502	1014	2997
G00249	7371	9719	22939	2014	894
G00250	9	20	51	4	1701
G00251	39	131	144	21	1692
G00252	397	624	1163	138	2238
G00253	673	930	1466	222	1629
G00254	321	392	822	162	1440
G00255	116	95	228	16	1347
G00256	43	44	78	6	591
G00257	779	880	2652	287	3138
G00258	138	192	278	65	1251
G00259	19944	36155	58733	8615	849
G00260	178	333	497	83	1452
G00261	2732	5476	10192	1250	753
G00262	226	154	1150	133	273
G00263	1203	1529	2913	366	2331
G00264	460	535	2089	150	1164
G00265	0	2	0	0	255
G00266	1136	1199	3063	457	1524
G00267	455	710	968	267	558
G00268	289	288	786	67	2199
G00269	496	575	2379	161	1329
G00270	6221	6014	13776	4467	471
G00271	64	172	272	39	1395
G00272	1330	2052	4006	855	2325
G00273	160	211	613	76	1557
G00274	2028	2658	7230	705	3363
G00275	113	144	403	28	930
G00276	67	88	263	11	1056
G00277	457	827	849	161	957
G00278	607	2449	1761	357	2466
G00279	277	320	954	207	570
G00280	307	387	884	98	2748
G00281	261	442	938	102	357
G00282	679	758	2181	227	672
G00283	158	234	390	57	1386
G00284	76	229	288	65	1224
G00285	884	864	3241	430	1719
G00286	243	418	809	128	1404
G00287	871	1175	2725	211	2679
G00288	1453	2381	4395	496	3888
G00289	2585	3517	9245	1402	1941
G00290	2204	2318	8690	992	1566
G00291	658	767	1573	520	675
G00292	5325	4582	22387	2189	3207
G00293	1347	1856	6757	408	3858
G00294	234	348	945	73	1257
G00295	541	890	1865	318	879
G00296	5147	7571	19402	898	429
G00297	614	693	2254	237	1584
G00298	12248	10439	44660	4515	579
G00299	1147	1370	3869	410	2037
G00300	199	241	582	78	1413
G00301	15	35	49	12	615
G00302	139	313	375	48	2550
G00303	139	303	267	36	1515
G00304	129	228	1676	316	651
G00305	43	67	111	19	801
G00306	114	207	278	108	1095
G00307	61	143	427	49	1335
G00308	91	123	249	29	435
G00309	5972	5184	31551	1856	2262
G00310	1063	1839	2647	366	3678
G00311	0	0	0	0	387
G00312	1031	752	2806	285	399
G00313	1367	879	6969	394	2883
G00314	58	98	189	15	429
G00315	304	537	854	132	2925
G00316	1439	1193	7798	519	1323
G00317	2289	2071	6896	879	1065
G00318	1308	1830	4268	670	2541
G00319	88	99	100	21	804
G00320	79	56	118	6	720
G00321	761	1040	1662	795	672
G00322	11661	12238	40059	3851	606
G00323	127	173	312	65	1116
G00324	1095	1194	3512	317	6240
G00325	19	15	20	1	1044
G00326	1995	2405	5925	763	4440
G00327	608	381	4753	130	1314
G00328	175	425	795	87	1812
G00329	124	333	343	138	1584
G00330	569	611	1602	202	306
G00331	737	868	1918	197	1560
G00332	1	12	7	1	774
G00333	146	304	765	170	1275
G00334	500	758	1253	220	1416
G00335	437	709	989	171	1455
G00336	17	33	17	4	384
G00337	496	382	3047	132	1437
G00338	681	513	2226	155	282
G00339	422	565	1173	167	2556
G00340	388	829	846	159	1227
G00341	37	39	184	13	888
G00342	491	508	1568	190	1368
G00343	6567	6900	25428	2330	447
G00344	3688	7300	9959	1120	972
G00345	1120	1161	4792	521	930
G00346	1118	1531	3140	669	2196
G00347	109	178	378	26	1650
G00348	31	52	78	15	912
G00349	294	415	999	148	1764
G00350	319	665	743	117	2028
G00351	50	62	123	22	1329
G00352	370	274	1002	180	918
G00353	4034	7015	14964	1829	1047
G00354	10	14	21	14	330
G00355	1504	3257	3727	1084	3606
G00356	11127	10123	40107	3626	699
G00357	1383	2365	4712	650	2646
G00358	1549	1894	5332	629	981
G00359	339	431	1339	187	573
G00360	1218	2374	3973	576	2649
G00361	305	263	1137	95	1263
G00362	473	388	1956	112	720
G00363	23	42	49	4	717
G00364	1	8	4	1	318
G00365	4	42	44	17	1284
G00366	1441	2136	5425	699	1071
G00367	476	584	1684	211	2088
G00368	442	816	1235	325	2490
G00369	848	1178	2771	395	1734
G00370	539	672	2266	364	1071
G00371	337	312	928	198	717
G00372	908	2091	3179	310	948
G00373	193	202	881	51	2394
G00374	1684	1252	8328	338	2478
G00375	625	862	1924	241	387
G00376	98	182	496	25	408
G00377	18	33	76	2	2034
G00378	497	810	1745	183	990
G00379	334	762	760	200	396
G00380	990	1073	4000	284	660
G00381	412	642	693	96	1890
G00382	328	420	1574	206	3048
G00383	3564	4992	7234	1466	2133
G00384	1037	1579	4102	344	570
G00385	1294	1623	4828	352	972
G00386	2171	4248	6441	850	2391
G00387	539	852	1169	198	2139
G00388	655	1007	2553	219	3288
G00389	1788	2437	7457	581	1839
G00390	403	356	1072	364	420
G00391	23	39	204	13	2079
G00392	227	532	474	132	2544
G00393	3777	5505	17162	2518	1242
G00394	1169	1171	4548	341	447
G00395	1803	2005	5338	537	1095
G00396	279	273	1518	82	1509
G00397	1006	1164	3211	423	2565
G00398	802	1058	2955	369	2094
G00399	811	822	2282	408	1317
G00400	2559	3436	6293	740	3492
G00401	8	8	12	4	1371
G00402	246	253	1096	57	1665
G00403	863	796	3438	291	486
G00404	54	174	249	43	1311
G00405	205	204	759	108	573
G00406	1520	1310	4621	815	1308
G00407	5711	5591	29722	1979	3156
G00408	758	1143	2183	320	273
G00409	666	781	1956	611	477
G00410	696	693	2466	222	3000
G00411	4645	6113	9690	1190	5082
G00412	492	777	1483	157	2823
G00413	17	125	89	22	930
G00414	2212	3559	5489	881	4767
G00415	10	24	28	6	1074
G00416	288	301	1157	101	2940
G00417	1373	840	9119	260	3201
G00418	1224	1301	6463	663	1437
G00419	165	261	611	71	1554
G00420	6490	6668	24455	2253	666
G00421	32	43	80	13	378
G00422	104	186	204	40	1719
G00423	234	772	673	161	1083
G00424	90	69	248	49	789
G00425	29921	36817	109094	10708	927
G00426	0	3	1	0	264
G00427	1071	888	6174	360	1854
G00428	525	692	1932	150	4155
G00429	48	39	164	21	657
G00430	125	147	338	37	1248
G00431	469	750	1308	330	390
G00432	61	90	243	28	735
G00433	199	452	433	88	936
G00434	6185	7674	17743	2894	3771
G00435	11864	8492	41409	3977	435
G00436	392	733	1097	139	1581
G00437	196	291	585	112	1152
G00438	185	241	404	83	1077
G00439	197	267	432	73	1335
G00440	214	327	806	113	1212
G00441	392	761	1783	128	1164
G00442	64	92	194	19	651
G00443	456	633	1060	222	2169
G00444	360	1100	1303	517	1434
G00445	544	979	1818	340	1824
G00446	9	8	8	2	204
G00447	1833	2508	7092	562	1851
G00448	1983	3542	10561	806	1803
G00449	10138	10632	39584	4102	801
G00450	846	1154	2707	307	2220
G00451	611	552	1753	104	2310
G00452	374	450	1055	116	1071
G00453	47	94	206	17	564
G00454	10	13	24	6	2037
G00455	285	446	1218	167	1035
G00456	267	563	363	174	2274
G00457	59	64	198	49	270
G00458	219	244	728	75	1596
G00459	272	312	1583	136	1557
G00460	442	567	1066	171	1056
G00461	390	539	948	117	3015
G00462	227	331	654	133	732
G00463	124	239	365	46	1116
G00464	20	15	79	1	1149
G00465	21	42	56	7	2622
G00466	8	21	39	5	792
G00467	6587	9483	33363	5860	579
G00468	3388	6083	10554	2325	1512
G00469	714	1004	1759	296	2802
G00470	1570	2269	4132	665	312
G00471	4009	5822	10928	1274	5676
G00472	416	414	2028	161	2061
G00473	2	14	2	1	1392
G00474	2	12	9	2	1215
G00475	629	710	1152	402	969
G00476	0	3	1	0	438
G00477	0	2	0	0	186
G00478	1293	2223	5922	579	2082
G00479	319	645	1080	422	1410
G00480	1145	1122	5737	674	2232
G00481	1986	2137	5229	820	2997
G00482	290	215	570	149	480
G00483	39	334	281	30	1197
G00484	790	1478	1768	685	2898
G00485	820	1272	2604	318	1761
G00486	20	44	28	4	1728
G00487	15417	12064	48714	5627	609
G00488	24	89	102	20	1113
G00489	1155	1667	3318	334	1767
G00490	1879	2149	5961	555	2412
G00491	218	402	503	69	1731
G00492	560	905	1257	201	1308
G00493	1921	3478	5316	568	4512
G00494	584	956	1535	294	2046
G00495	824	943	2576	483	1182
G00496	1030	1233	3752	429	1668
G00497	454	359	1219	130	309
G00498	2888	3730	6377	1415	1290
G00499	5	43	40	1	1419
G00500	48	104	288	41	2052
G00501	24	48	107	11	1251
G00502	164	288	462	100	1338
G00503	127	290	376	46	2337
G00504	6476	6362	19608	3421	1395
G00505	1059	900	4115	384	873
G00506	505	460	3002	128	1059
G00507	429	697	1929	252	999
G00508	1988	2506	6048	521	1701
G00509	615	426	3655	198	1419
G00510	690	363	3858	197	1338
G00511	2042	2424	5345	831	702
G00512	240	441	782	67	1347
G00513	224	306	651	67	1866
G00514	31	73	104	11	1422
G00515	597	893	1871	295	1371
G00516	649	479	2929	175	1431
G00517	2118	3185	7499	853	1416
G00518	1204	1243	3426	395	1527
G00519	1159	953	3015	310	1164
G00520	3997	4011	19918	1783	6183
G00521	4328	4090	15554	1059	606
G00522	101	527	2312	338	564
G00523	132	141	301	65	1032
G00524	499	384	1773	206	516
G00525	74	120	308	23	351
G00526	86779	133390	399783	29917	1485
G00527	2230	3630	6946	852	2628
G00528	575	665	2148	201	1725
G00529	833	1180	2559	429	726
G00530	271	255	977	215	417
G00531	192	309	576	134	1695
G00532	192	182	510	147	1464
G00533	256	243	709	120	651
G00534	20	165	72	9	2295
G00535	24	90	90	31	1830
G00536	468	599	1209	148	1461
G00537	86	131	374	35	822
G00538	142	163	456	87	843
G00539	2068	1695	6044	625	2967
G00540	832	1338	3169	393	903
G00541	97	179	352	67	2100
G00542	29	95	77	27	1677
G00543	3	7	22	2	2547
G00544	1461	1153	5336	454	1035
G00545	4802	5509	24705	1687	624
G00546	121	153	275	56	561
G00547	1274	731	5572	415	1581
G00548	1773	1979	5733	638	687
G00549	2881	4247	10014	1456	630
G00550	898	969	3050	466	1062
G00551	2	15	7	0	1143
G00552	26	104	120	12	1200
G00553	1380	1960	3697	612	1617
G00554	162	502	652	151	1218
G00555	1659	2064	5708	708	1929
G00556	694	674	2871	276	1125
G00557	1596	2823	5811	633	1440
G00558	4986	4492	21570	2053	1695
G00559	340	535	927	133	1611
G00560	48	77	130	23	1575
G00561	52	110	67	10	810
G00562	198	504	630	80	2763
G00563	7265	8002	25774	1728	360
G00564	6938	8825	18703	2926	1986
G00565	4459	3483	25044	1443	3288
G00566	22	45	96	19	1215
G00567	4013	4039	10709	1296	2400
G00568	1002	1458	2361	531	1164
G00569	5568	5653	19756	2320	336
G00570	119	139	579	52	981
G00571	699	1926	2663	522	2187
G00572	1441	2016	5139	534	1812
G00573	0	0	0	0	591
G00574	148	161	443	37	1011
G00575	412	724	1381	244	1683
G00576	423	642	1443	118	2265
G00577	36	43	280	22	1146
G00578	2612	4019	6815	970	3693
G00579	278	437	1200	213	2799
G00580	2575	4593	7843	1249	1239
G00581	535	699	1556	216	1362
G00582	4772	5444	18535	1179	1113
G00583	328	247	899	183	1812
G00584	2079	1875	8339	597	1410
G00585	253	568	959	100	2247
G00586	435	717	1404	106	1299
G00587	475	428	1161	150	1317
G00588	4	5	8	2	570
G00589	458	831	753	480	1059
G00590	583	1027	1496	244	2982
G00591	954	1471	2905	286	1191
G00592	241	199	1104	70	1521
G00593	2573	3087	10244	633	4581
G00594	476	547	1724	250	531
G00595	250	471	841	139	897
G00596	258	244	1331	91	1677
G00597	1112	2130	2668	561	2256
G00598	1299	1642	5328	322	2619
G00599	440	984	1608	210	1665
G00600	929	1037	2021	299	1233
G00601	2	4	1	0	660
G00602	629	637	1967	331	1140
G00603	472	628	1139	142	1416
G00604	176	318	343	52	411
G00605	1444	2954	3265	577	2127
G00606	129	111	447	136	717
G00607	123	285	404	51	1611
G00608	1247	1859	4135	453	2292
G00609	902	1059	2268	378	1371
G00610	68	90	168	12	237
G00611	2669	4071	12989	1236	1329
G00612	268	361	917	114	1383
G00613	342	568	1099	170	1020
G00614	829	994	2787	306	2526
G00615	8	19	10	2	1821
G00616	189	315	704	53	1683
G00617	461	1061	727	248	2676
G00618	324	377	1051	133	684
G00619	2	3	13	0	630
G00620	17763	22883	35073	5730	6381
G00621	975	914	2596	661	1137
G00622	248	318	670	72	510
G00623	1576	1193	6521	989	597
G00624	15837	43769	78418	8158	1917
G00625	3109	3464	7926	829	930
G00626	2067	4218	6146	962	357
G00627	26549	31018	72233	9036	1323
G00628	985	949	3357	376	2460
G00629	196	330	487	78	288
G00630	536	584	2256	201	1965
G00631	714	1227	2260	355	1161
G00632	3773	3506	12125	842	774
G00633	1822	1847	6548	931	1053
G00634	75	121	128	31	813
G00635	1	6	7	5	1581
G00636	79	154	210	82	684
G00637	404	282	1091	88	732
G00638	724	652	2404	253	825
G00639	963	1199	2940	258	1905
G00640	283	358	1006	120	1092
G00641	339	524	911	203	1149
G00642	395	537	1590	140	2223
G00643	282	525	901	121	1272
G00644	705	626	3954	192	573
G00645	1331	1816	6178	758	1836
G00646	203	244	530	43	891
G00647	542	721	1841	249	2448
G00648	540	1515	1618	308	2145
G00649	541	1111	1792	316	729
G00650	2080	2919	8056	879	2280
G00651	395	651	1711	213	1743
G00652	197	301	834	65	1224
G00653	5213	4430	16793	1835	3060
G00654	116	178	314	34	972
G00655	616	962	1683	167	1203
G00656	226	779	685	178	1134
G00657	1475	2000	5134	521	1122
G00658	319	570	995	146	747
G00659	228	327	621	72	909
G00660	3802	5232	11483	1164	3306
G00661	674	604	2311	233	2304
G00662	179	328	298	24	1551
G00663	3069	3388	11185	1080	2118
G00664	1034	868	3407	421	618
G00665	340	458	1187	150	1224
G00666	3078	3163	9702	1640	687
G00667	2853	2825	12130	868	1041
G00668	458	420	1588	136	630
G00669	527	585	1763	126	2946
G00670	914	972	2784	412	240
G00671	116	236	483	58	732
G00672	959	1698	2373	381	2223
G00673	435	598	1009	176	1989
G00674	710	1234	1898	332	2958
G00675	2076	2020	5476	870	1383
G00676	977	1551	3013	477	1899
G00677	626	485	1893	190	627
G00678	401	926	1255	140	504
G00679	210	310	909	58	1326
G00680	779	991	3112	244	1095
G00681	142	362	439	91	1236
G00682	109	288	414	63	708
G00683	5226	6982	19384	2556	1956
G00684	1048	1113	3901	237	1092
G00685	1704	3877	1739	662	435
G00686	822	1791	2537	463	3825
G00687	160	238	731	57	588
G00688	427	559	1373	240	1539
G00689	1131	1570	3548	414	3264
G00690	243	403	618	102	2328
G00691	190	202	500	61	681
G00692	12079	11142	50220	5487	579
G00693	120	297	544	85	1770
G00694	11	43	55	13	1587
G00695	568	979	2097	237	2061
G00696	0	1	4	0	1671
G00697	1601	1644	4349	384	1707
G00698	106	129	334	69	453
G00699	372	516	1062	163	1176
G00700	1576	1417	5511	566	1413
G00701	176	438	524	139	1233
G00702	1437	1095	8359	517	2391
G00703	920	746	5991	284	2355
G00704	201	233	928	133	654
G00705	251	460	758	116	546
G00706	362	682	1144	112	1920
G00707	701	1021	2788	272	1197
G00708	18	21	27	6	699
G00709	87	136	218	13	2673
G00710	2101	2633	8393	684	1290
G00711	3167	3996	11903	1441	1455
G00712	9	31	49	17	1146
G00713	320	252	1104	98	1281
G00714	333	211	2126	99	2016
G00715	2287	1867	10726	560	1038
G00716	1	7	7	3	471
G00717	470	537	1312	219	897
G00718	61	142	225	31	246
G00719	352	492	1098	107	2493
G00720	159	155	508	52	609
G00721	419	354	1644	132	903
G00722	815	1129	3296	175	2310
G00723	1343	1276	4330	332	585
G00724	837	614	1616	462	366
G00725	50	46	125	13	759
G00726	18391	15345	63143	8492	438
G00727	538	1207	2671	361	1320
G00728	525	827	1385	183	1557
G00729	1562	2745	3512	568	1161
G00730	452	875	1394	229	588
G00731	813	1011	2364	419	648
G00732	2064	2988	6752	866	2514
G00733	488	290	3113	716	498
G00734	67	47	148	43	1173
G00735	501	1250	1125	229	2175
G00736	421	478	2003	177	372
G00737	550	606	1974	174	432
G00738	181	315	525	88	1248
G00739	144	197	644	32	1929
G00740	190	268	765	40	963
G00741	940	1333	3505	265	1362
G00742	2875	2517	10702	1843	765
G00743	1024	1777	2921	389	2127
G00744	429	713	1286	223	2334
G00745	1414	2000	4407	358	2943
G00746	874	1161	3009	427	3168
G00747	171	212	709	67	1215
G00748	932	1122	2760	246	918
G00749	832	1509	2287	311	1509
G00750	276	578	724	115	654
G00751	652	1506	3619	713	2505
G00752	402	722	2086	331	660
G00753	0	0	0	0	228
G00754	135	261	452	75	771
G00755	178	224	947	51	1062
G00756	12	27	40	6	933
G00757	32	106	70	23	219
G00758	394	302	998	91	297
G00759	429	650	1182	206	2532
G00760	2292	2837	8743	675	2361
G00761	1677	2555	4979	518	1320
G00762	600	781	1949	248	3132
G00763	3952	4087	17950	1172	1185
G00764	2362	1905	6910	2034	549
G00765	826	1402	2175	308	3210
G00766	2231	2689	7287	941	1026
G00767	1633	1307	6727	362	1572
G00768	614	736	2215	171	618
G00769	1299	1668	4012	384	3927
G00770	8	35	59	6	1188
G00771	754	1341	1966	291	246
G00772	203	417	679	112	1503
G00773	41	102	223	29	1638
G00774	379	303	1105	163	744
G00775	475	1266	1984	217	897
G00776	3898	7168	14558	2526	1371
G00777	499	675	1434	194	885
G00778	694	712	1665	298	888
G00779	2582	2130	12702	666	1098
G00780	59	153	92	30	1050
G00781	1551	2451	4772	744	5790
G00782	24	33	59	20	666
G00783	413	6842	1714	2487	1452
G00784	1634	1495	5127	463	1200
G00785	2891	2980	9449	1187	3636
G00786	145	156	325	81	462
G00787	208	339	767	76	1713
G00788	379	719	711	380	594
G00789	152	249	314	66	981
G00790	268	539	577	247	840
G00791	32	79	79	18	1296
G00792	3423	4213	15180	1293	1341
G00793	1	18	17	5	843
G00794	0	5	5	1	735
G00795	0	2	5	0	966
G00796	10	13	25	4	1014
G00797	0	3	10	4	795
G00798	896	1096	2707	360	1560
G00799	1861	1797	6101	804	2031
G00800	595	1194	2429	377	2223
G00801	1085	2039	2314	869	2226
G00802	60	113	182	11	618
G00803	1	1	1	0	261
G00804	0	14	1	2	213
G00805	2	16	7	1	729
G00806	371	493	833	166	966
G00807	262	302	750	87	1155
G00808	2204	2849	5847	707	4572
G00809	3	10	8	4	381
G00810	2132	2755	10871	909	2112
G00811	2285	2087	6914	905	2373
G00812	394	593	1563	115	1650
G00813	184	438	777	84	666
G00814	30428	37381	82775	11115	1254
G00815	1211	1211	3375	715	252
G00816	1598	1976	2667	334	2178
G00817	146	389	312	61	1680
G00818	24925	36732	71960	9689	18810
G00819	2564	4118	7342	1457	4377
G00820	1284	1320	4660	297	3942
G00821	542	697	1922	168	1047
G00822	11	35	27	9	738
G00823	852	1211	2117	638	474
G00824	1415	771	7582	434	2097
G00825	465	599	1653	210	2538
G00826	99	106	207	42	696
G00827	608	750	2319	159	2205
G00828	233	281	545	36	2109
G00829	615	444	1713	198	1083
G00830	439	663	1367	247	684
G00831	9270	9608	38651	2526	612
G00832	799	1179	2512	275	2868
G00833	693	866	2136	301	1845
G00834	686	582	2275	379	849
G00835	1708	886	10223	576	1389
G00836	607	554	1162	272	714
G00837	727	1107	2469	298	2094
G00838	49	91	136	53	1074
G00839	373	634	1068	141	2187
G00840	721	1877	1490	410	525
G00841	413	545	1198	156	2802
G00842	3783	4356	18629	1164	1164
G00843	424	397	1677	133	882
G00844	212	399	753	324	597
G00845	958	714	2714	413	3057
G00846	427	504	1190	173	1548
G00847	1733	2578	5032	963	1440
G00848	1020	1331	2845	423	2637
G00849	488	598	2093	211	732
G00850	819	990	2720	339	1362
G00851	353	400	1142	97	2370
G00852	15	34	69	3	2187
G00853	333	460	1444	313	360
G00854	951	1000	2799	164	1755
G00855	1354	888	7377	534	3339
G00856	25	68	92	32	1491
G00857	644	827	3790	405	1458
G00858	33	97	122	16	2520
G00859	230	478	788	80	936
G00860	971	1253	2940	589	1176
G00861	1114	998	3166	454	636
G00862	102	122	304	42	2037
G00863	396	542	971	317	597
G00864	442	922	1716	139	282
G00865	2194	1819	9013	769	3225
G00866	23	11	97	6	765
G00867	4080	3099	14438	1039	4299
G00868	0	9	2	0	1518
G00869	376	468	2032	216	1311
G00870	7409	8428	33830	2221	1401
G00871	826	710	1904	398	1188
G00872	22	49	507	24	1323
G00873	535	785	1552	203	4278
G00874	315	694	975	152	993
G00875	558	903	1753	232	465
G00876	4626	5110	16955	1797	2868
G00877	753	1161	1696	194	1461
G00878	483	236	2848	190	978
G00879	141	205	496	48	2388
G00880	25	43	72	4	768
G00881	0	3	0	0	1080
G00882	2	10	7	5	1152
