Gene_id	A1	A2	B1	B2	A3	B3	length
G000618	1874	2295	2786	2770	2446	3123	553
G000619	4626	5083	5870	4581	6823	5616	594.5
G000620	312	398	341	171	582	173	4050.5
G000621	477	466	304	300	1016	248	694.5
G000622	3759	3291	6439	4251	5716	5349	882
G000623	0	10	11	0	7	0	712
G000624	588	488	782	651	774	604	4371
G000625	719	851	882	880	838	1111	1395
G000626	1	0	0	0	0	0	5206
G000627	0	0	8	0	0	0	689
G000628	884	735	1195	919	572	1071	685
G000629	412	1000	1296	958	1049	1322	2677
G000630	355	215	199	181	306	97	2837
G000631	0	0	0	0	0	0	3632
G000632	117	86	82	22	56	91	6622
HK00002	2634	2121	2742	2252	3262	1814	2512.5
G000633	969	1126	1679	1073	1660	1233	4520
G000634	0	0	0	0	0	0	7417
G000635	660	646	919	947	961	733	792.5
G000636	68	127	104	76	146	41	2307
G000637	681	662	740	722	827	822	2409
G000638	2238	2456	2037	1695	2228	2452	763
G000639	677	1044	649	498	895	688	1673
G000640	358	532	688	353	697	524	603
G000641	465	615	882	564	1008	774	1478
G000642	0	0	0	0	9	8	994
G000643	751	812	714	380	1228	374	1283
G000644	0	0	0	0	0	3	983
G000645	1199	1759	1839	1604	1669	2262	2110
G000646	0	0	0	0	0	4	1724.5
G000647	678	609	1072	905	1368	976	830
G000648	1103	927	1334	966	1929	885	2001.5
G000649	1630	1751	2667	1637	2555	1884	4100
G000650	2481	2705	4300	3338	4735	3178	3585
G000651	681	754	1009	707	987	917	670
G000652	215	130	126	126	232	185	677
G000653	380	560	505	265	1046	289	1103.5
G000654	112	137	89	121	28	134	1414
G000655	0	0	8	1	4	0	2481.5
HK00003	815	584	1057	536	1025	728	5909
G000656	3788	4841	4118	2965	4765	4317	954
G000657	511	387	1104	698	668	879	1524
G000658	0	0	0	0	0	0	504.5
G000659	0	0	0	0	0	12	584
G000660	0	0	1	42	0	3	804
G000661	0	0	8	0	0	0	3509.5
G000662	751	699	342	125	1034	390	2211
G000663	1334	1769	3006	3013	1910	4262	737
G000664	0	0	6	0	0	7	733
G000665	678	1061	1663	1412	973	2150	862
G000666	1443	1345	2477	2224	2071	2061	3887
G000667	11544	10869	9609	8733	11933	10964	629.5
G000668	1655	1712	3618	2998	2353	4220	8392
G000669	0	31	34	25	0	12	1348.5
G000670	111	84	149	54	91	125	1885
G000671	1997	2354	3215	2542	1865	3607	756
G000672	142	185	260	197	149	394	1353
G000673	0	0	0	4	0	0	11716
G000674	753	1008	956	707	901	885	856
G000675	0	0	1	0	0	0	862
G000676	0	0	0	0	0	0	2937
G000677	490	469	600	717	587	814	2966.5
G000678	1016	1022	1281	985	700	1882	1240
G000679	2376	2474	4676	3140	3354	4995	1405
G000680	784	594	911	649	560	1033	768
G000681	0	11	8	0	11	3	2255
G000682	220	220	297	162	346	404	2681
G000683	0	0	1	0	0	0	1922
G000684	0	0	0	0	0	0	1288
G000685	692	728	949	560	709	1013	1668
G000686	1	0	2	0	0	1	930
G000687	861	598	961	767	814	761	3264
G000688	129	182	257	103	165	173	3340.5
G000689	1588	1965	1410	1269	1834	1578	1994
G000690	341	296	127	19	304	240	1418
G000691	188	327	733	734	300	929	1515
G000692	229	263	936	589	312	627	7519
G000693	2721	3584	3249	2162	4666	3012	1625.5
G000694	9	5	3	20	0	0	687
G000695	76	83	143	96	97	149	642
G000696	541	601	574	509	373	892	752.5
G000697	185	161	308	120	154	150	2359
G000698	2174	2441	3770	2376	3647	2477	2534
G000699	0	0	0	0	0	0	1222
G000700	1823	2446	3076	2113	3351	2837	462
G000701	3056	2341	3991	3267	3216	3881	2595
G000702	829	776	2557	1712	1346	1734	2173
G000703	682	989	1006	830	1002	988	1026
G000704	1119	1314	1209	765	1238	1050	889
G000705	0	0	0	0	0	2	5750
G000706	0	18	18	0	18	14	817
G000707	533	427	503	365	735	432	509
G000708	0	0	0	0	0	0	948
G000709	1398	1663	1789	1802	1291	1877	989
G000710	3271	3375	3578	3328	3070	4907	578
G000711	13	3	6	0	0	0	1251.5
G000712	1078	1377	1181	1389	1104	1741	856
G000713	29	17	48	0	35	11	1675.5
G000714	0	0	6	20	0	18	1631
G000715	8	0	54	31	0	26	10335
G000716	479	433	841	658	845	668	773
G000717	537	786	871	859	655	822	731
G000718	0	0	5	1	1	0	814
G000719	1897	2380	1879	1552	1432	2414	951
G000720	3558	3834	6913	5244	5467	6797	1938
G000721	774	671	491	460	673	567	890
G000722	0	0	0	0	1	0	1463.5
G000723	479	423	701	519	689	760	3463
G000724	372	337	113	90	599	122	1816
G000725	580	746	593	567	580	734	829
G000726	13	0	6	14	8	16	606
G000727	205	192	468	251	219	328	3164
G000728	3090	3226	4889	3142	5450	3036	5724
G000729	1183	1521	621	334	1605	539	2097.5
G000730	876	1033	860	853	771	862	1886
G000731	719	571	1350	849	1072	879	1132
G000732	2422	2214	2316	1653	2482	1702	4167.5
G000733	719	859	567	370	1128	412	5283
G000734	0	0	0	0	0	0	3024
