Gene_id	A1	A2	B1	B2	A3	B3	length
G003790	0	4	0	0	0	10	709
G003791	385	432	492	598	315	537	1481
G003792	1306	1027	875	950	1314	1204	834
G003793	3255	3150	3440	1921	5773	2383	955
G003794	134	47	183	118	164	104	781.5
G003795	0	0	0	0	0	0	991
G003796	615	681	1087	739	919	744	738.5
G003797	226	210	237	249	212	228	927
G003798	527	616	507	355	381	621	701
G003799	38	74	36	13	63	19	2256
G003800	4627	5071	8519	6712	6035	7672	804
G003801	350	354	380	484	441	291	1481
G003802	0	0	0	0	0	9	1245.5
G003803	385	424	350	307	490	275	2599.5
G003804	6	0	0	0	14	0	1058
G003805	2947	2504	1989	1898	3607	2026	735
G003806	1565	1849	2316	2057	2563	2183	615.5
G003807	7321	7633	6468	4834	9851	5601	617
HK00009	285	336	373	360	438	323	1075
G003808	625	669	582	339	799	357	630.5
G003809	780	762	917	636	1165	685	2072.5
G003810	0	0	0	0	0	0	2124
G003811	20	0	17	0	10	0	1041
G003812	11362	15781	29352	23691	12982	33613	782
G003813	9271	12886	12417	9473	11686	15407	1480
G003814	0	0	0	0	0	0	2433
G003815	727	435	1025	629	645	877	2581
G003816	1052	1555	1825	1639	1439	2265	950.5
G003817	0	11	7	0	8	0	974.5
G003818	68	50	0	0	54	0	947
G003819	80	87	127	118	119	190	1420
G003820	0	0	0	0	0	0	864
G003821	609	539	675	506	794	454	1368
G003822	8	7	2	13	1	4	1254.5
G003823	2563	2459	2041	1807	4149	1749	584
G003824	4812	5765	6759	5212	6951	7618	1779
G003825	1315	1137	1881	1503	1057	2310	1845.5
G003826	185	264	1055	880	399	1098	746
G003827	4	16	6	0	35	20	665
G003828	0	0	6	0	0	12	860.5
G003829	475	604	640	513	445	1105	705
G003830	0	0	2	1	1	0	2659
G003831	235	156	254	342	169	302	983
G003832	988	739	3430	2331	1066	2259	900
G003833	138	152	99	83	151	168	540
G003834	0	0	5	0	0	1	2480.5
G003835	0	12	49	94	26	78	2428
G003836	2309	2873	2258	1797	1987	3486	555
G003837	726	804	903	807	886	1135	640
G003838	1581	1722	1306	1157	1791	1762	907
G003839	0	0	0	0	0	0	466
G003840	0	0	4	0	0	0	561
G003841	255	306	844	550	467	700	932.5
G003842	0	0	6	0	0	7	883.5
G003843	1140	1560	5746	4730	1539	4298	2063
G003844	19	0	0	0	18	0	602.5
G003845	16	37	68	48	0	101	1965
G003846	0	0	2	0	0	0	4735.5
G003847	759	460	989	804	1219	672	575.5
G003848	873	1262	1557	1137	1250	1527	2210.5
G003849	725	677	386	289	875	361	803.5
G003850	1301	1953	1136	1295	1469	1610	1598
G003851	2343	2638	1609	1457	3364	1685	897
G003852	0	0	0	0	0	0	903
G003853	1012	1328	2092	1286	1962	1407	2627.5
G003854	7	0	2	0	0	0	1215.5
G003855	0	1	1	0	2	2	575
G003856	2760	2688	2466	2491	2219	2270	813.5
G003857	21	26	14	17	0	39	1341
G003858	2233	2789	3086	2644	2721	3235	1221
G003859	241	175	1187	733	231	817	1083
G003860	7	13	36	0	0	2	1475.5
G003861	0	15	3	0	17	0	393
G003862	64	64	51	79	88	62	1005
G003863	0	0	2	0	0	0	2531.5
G003864	126	171	39	35	17	79	723
G003865	1545	1833	2432	1533	2209	2320	624
G003866	1632	2239	3697	3122	1933	4029	848
G003867	1578	1578	1558	1162	1753	1487	980
G003868	0	0	3	0	0	0	1704
G003869	0	11	0	0	0	3	1513
G003870	1010	974	1835	1175	957	1052	923
G003871	0	1	48	38	63	49	1782
G003872	0	0	2	0	0	0	3281.5
G003873	604	955	1840	1365	798	1558	750.5
G003874	327	444	734	444	588	627	1406
G003875	13	0	12	40	4	0	726.5
G003876	5049	5257	4651	3596	4253	5219	578
G003877	66	77	84	114	64	80	2245
G003878	2833	3595	6938	4541	4671	6243	2680
G003879	0	0	0	0	0	11	1218
G003880	442	283	673	500	759	343	630.5
G003881	69	143	321	240	258	385	805
G003882	1891	2072	3458	3214	2416	4102	729
G003883	1024	1188	1821	1166	1345	1632	643
G003884	1167	1176	3710	2854	1643	3668	2681
G003885	1832	2179	3496	2465	2457	3326	872
G003886	705	899	1518	1003	1361	1568	855
G003887	3524	4279	2059	2287	3586	3800	501
G003888	71442	89075	71369	66875	79236	74321	1279
G003889	1726	1880	3038	2511	1988	2998	848
HK00010	9247	7876	12009	8801	14084	12466	660
G003890	0	0	0	0	0	0	811
G003891	631	567	744	652	989	695	688.5
G003892	2698	2737	2507	2167	2672	2699	884.5
G003893	418	509	228	73	522	219	776
G003894	16	12	16	0	8	32	962
G003895	262	295	429	286	143	754	985
G003896	2272	3180	2886	2306	2640	3475	1524
G003897	2842	2476	3079	2772	3681	2485	768
G003898	10521	11970	10420	9792	8666	12686	820
G003899	1600	1613	4240	3020	2648	3061	601
G003900	67	70	87	63	53	145	1205
G003901	2191	2295	2970	2797	2599	3657	724
G003902	2237	1901	2452	1915	2512	1725	3573
G003903	537	744	286	188	540	438	640
G003904	10	17	4	0	0	6	664
G003905	733	741	773	382	476	570	802
G003906	622	674	1237	1077	1044	874	799
G003907	0	0	0	0	0	0	870
G003908	0	0	0	0	0	0	853
G003909	1073	1305	1246	879	1520	1168	659
G003910	639	1017	1427	880	1324	1593	876
G003911	0	0	0	0	0	0	3132
G003912	27777	37966	26954	23489	31290	36665	694
G003913	548	718	483	305	580	367	1260.5
G003914	1266	1767	1848	1852	1609	2693	854
G003915	189	171	232	264	250	248	1107.5
G003916	343	355	370	377	336	413	633.5
G003917	0	0	0	0	0	0	615
G003918	507	594	950	714	828	1065	816.5
G003919	0	0	0	0	0	0	795
G003920	738	661	1620	1540	919	1625	934
G003921	125	59	145	88	125	131	760
G003922	1402	2134	1156	1138	1467	1300	572
G003923	0	0	0	0	5	0	552
G003924	0	5	0	0	0	13	1228
G003925	525	638	691	582	825	513	1481.5
G003926	4884	6191	4605	4440	6179	5883	1201
G003927	37	44	66	92	22	93	3158
G003928	1668	1613	1150	938	1460	1369	1873
G003929	0	0	0	17	0	7	1448
G003930	17	138	107	28	115	58	3135
G003931	307	194	230	240	170	228	697
G003932	946	1362	1209	990	1405	1340	1690
G003933	17	55	25	26	109	8	2000.5
G003934	0	28	14	15	34	6	3745
G003935	1626	2045	1519	1165	1653	1684	857
G003936	0	6	0	0	14	3	2596.5
G003937	0	0	39	0	0	32	3830
G003938	2628	3518	2282	2554	2317	3539	1006
G003939	2086	2920	2542	1975	3019	3331	1800
G003940	364	368	468	223	335	315	932
G003941	283	274	229	196	359	248	2419.5
G003942	2886	3375	3346	2881	4218	3145	745
G003943	231	273	455	223	710	270	1736
G003944	0	0	0	46	0	0	891
G003945	810	759	1050	621	853	1132	1468.5
G003946	56	243	338	293	215	309	825
G003947	272	210	230	108	154	299	2035
G003948	868	833	1419	1022	1132	1267	2180
G003949	455	424	700	514	871	571	3461.5
G003950	0	0	10	0	0	0	1682
G003951	2198	2405	3656	2491	3607	3333	3255
G003952	3010	4784	3211	3143	2638	5330	1513
G003953	0	37	16	0	0	17	1010.5
G003954	623	637	1035	534	1006	1054	3311
G003955	854	759	942	437	1592	512	1321
G003956	0	12	5	0	2	0	2442
G003957	4534	4757	3795	1942	9693	2591	1568.5
G003958	260	529	413	474	541	280	497
G003959	0	0	0	0	0	0	2380.5
G003960	502	604	1232	994	688	1311	2221
G003961	184	319	410	493	388	430	3229
G003962	1904	1694	2753	2290	2315	2058	3453
G003963	0	0	0	0	6	0	1465
G003964	401	526	783	420	393	714	2554
G003965	0	0	2	0	0	0	697
G003966	0	0	10	0	0	13	2932.5
G003967	1438	1686	2042	1281	2089	1759	1376
G003968	0	0	0	0	0	0	1254
G003969	3186	3046	6503	4178	5254	5387	1339
G003970	1273	1284	778	819	1238	772	3576
G003971	6567	9115	11587	10053	7835	16817	1518
G003972	790	931	3072	2107	1298	3113	866
G003973	2150	2398	2172	1479	2094	2535	868
G003974	3723	4307	7211	5466	4123	8196	1875
G003975	1034	1022	1008	967	1351	1397	977
G003976	459	532	766	584	532	1026	795
G003977	144	65	277	295	169	211	655
G003978	1855	2342	2570	1714	3165	1812	6171.5
G003979	2173	2700	2168	2158	3269	2089	644
G003980	330	496	602	461	473	789	2471
G003981	3239	2446	4688	2956	4585	3233	3654
G003982	0	0	0	0	0	0	3105
G003983	89	209	254	138	157	305	1972
G003984	148	41	131	175	126	117	699
G003985	78	90	64	89	48	21	1317.5
G003986	847	1288	1727	1040	1441	1073	1417
G003987	0	0	7	0	0	0	3302
G003988	674	791	1226	828	1008	815	581
G003989	1495	1702	2155	1952	1955	2842	1252
G003990	468	426	716	549	805	747	2455
G003991	0	0	0	0	0	0	718
G003992	0	0	0	20	0	12	2080
G003993	0	0	0	0	0	0	1644
G003994	184	252	339	197	461	235	2946
G003995	1994	2432	2685	2191	3058	3252	1079
G003996	0	0	0	1	0	0	2831.5
G003997	708	853	1342	952	1149	1184	4145
G003998	12498	15532	24672	17811	19564	24173	638
G003999	0	0	0	0	16	8	2804
G004000	1427	1452	3747	2256	2693	2844	2828
G004001	6	0	13	2	6	8	1553.5
G004002	543	532	429	212	795	372	1663
G004003	507	441	95	98	426	208	1372
G004004	557	548	550	211	942	366	2835
G004005	583	654	787	515	890	846	1789.5
G004006	8	3	3	34	0	0	948
G004007	0	11	10	1	0	6	1822
G004008	65	49	64	35	66	11	2355
G004009	0	0	2	0	0	10	3106
G004010	0	0	11	0	0	0	967
G004011	764	1039	867	701	810	1245	733
G004012	48	25	484	490	50	409	1310
G004013	13583	17189	10079	8292	9750	14135	635
G004014	2129	2942	5583	4015	2954	5434	845
G004015	9	0	10	1	0	7	6565
G004016	1008	1545	2482	1789	1148	3270	683.5
G004017	880	965	1021	919	1693	867	2387.5
G004018	1234	1251	457	154	1499	312	1803
G004019	0	0	0	0	0	0	1564.5
G004020	3985	5354	3595	3498	4179	4656	1072
G004021	0	0	0	0	0	0	2270
G004022	1644	1721	2521	1793	2334	2643	1592.5
G004023	331	346	453	475	454	585	2788
G004024	169	293	154	288	136	203	1448
G004025	791	898	985	507	961	792	5519
G004026	458	449	403	497	418	456	757.5
G004027	1842	2892	2326	1775	2557	2821	1934.5
G004028	83	71	117	58	163	75	7767
G004029	109	147	350	198	155	264	1153
G004030	447	438	661	412	887	495	5614
G004031	5433	5554	6879	4205	9659	4754	779.5
G004032	0	0	2	0	0	0	825
G004033	71	130	227	91	92	163	1037
G004034	0	0	0	0	0	11	1940
G004035	3906	4340	4041	3660	5147	4753	1453
G004036	15	12	0	19	0	6	3216
G004037	0	0	0	0	0	0	831
G004038	0	0	0	0	0	0	1017
G004039	482	602	441	490	494	490	933
G004040	3164	3894	2589	2439	3344	3620	769
G004041	0	0	3	0	0	7	581
G004042	3370	4219	5222	3986	7527	3445	954
G004043	0	0	0	0	0	0	1164.5
G004044	86	115	146	130	254	80	8189
G004045	0	0	0	15	0	7	756
G004046	134	117	247	247	127	252	1003
G004047	0	0	0	0	0	0	1004.5
G004048	2536	2922	2647	1880	2660	2648	592
G004049	1523	1860	1593	1702	1371	1996	1153
G004050	1278	1150	1303	638	1762	1013	3212
G004051	295	587	738	673	368	764	1453
G004052	14	11	5	4	12	17	882.5
G004053	0	0	0	0	0	0	2974
G004054	213	153	511	304	404	235	6411.5
G004055	2080	2077	2797	2466	2567	2383	2730
G004056	1147	1355	1419	1417	1151	1896	765
G004057	1592	1405	1253	952	1599	1001	2173.5
G004058	1559	1833	1490	1081	1811	1001	2756
G004059	490	372	469	441	651	304	882
G004060	854	1057	1363	951	994	1522	1364
G004061	792	1142	795	644	846	1388	726.5
G004062	1263	1483	1129	956	1477	1309	1841.5
G004063	1298	1060	1375	1187	1916	1254	1277.5
G004064	6287	8715	3702	3601	6093	4909	501
G004065	1521	2264	4516	2786	3193	3486	3775
G004066	416	516	358	412	534	527	704
G004067	1652	1673	2819	1985	2707	2840	2043
G004068	0	0	0	0	0	0	3558
G004069	833	808	798	691	957	976	993
G004070	1543	1732	3921	2732	1804	3554	1512
G004071	363	678	1998	1312	659	1940	582
G004072	771	725	1780	1517	781	1847	2193.5
G004073	0	0	0	0	20	0	1162
G004074	600	501	517	395	1054	489	1791
G004075	2251	2222	957	996	3316	912	752.5
G004076	601	535	603	118	992	357	5537
G004077	0	0	7	0	0	0	783
G004078	1310	835	1574	1430	1354	1437	637.5
G004079	0	0	0	0	0	7	2544
G004080	0	0	0	0	0	0	1045.5
G004081	77	34	22	42	10	36	912
G004082	0	0	0	0	0	0	2892
G004083	120	231	563	363	265	487	2822.5
G004084	1802	2175	3332	2202	3669	2884	2351
G004085	0	0	0	30	0	0	2736
G004086	1037	1340	1240	1571	1249	1524	1060
G004087	378	364	572	385	709	523	1357.5
G004088	92	114	247	250	155	294	897
G004089	364	563	1057	706	1144	693	1493
G004090	3301	3416	9490	6171	6001	5510	770
G004091	0	0	0	1	0	0	714
G004092	474	443	1219	602	445	1184	672
G004093	907	941	2087	1364	1646	1355	1549
G004094	2309	3013	3591	3018	4633	4030	829
G004095	4590	4771	4533	4015	5217	4586	782.5
G004096	0	34	0	0	15	6	553.5
G004097	565	946	1101	1175	1139	1102	759
G004098	782	782	2606	2041	1274	2340	810
G004099	2742	3523	5198	3577	5654	4355	747
G004100	2004	2375	3175	2265	2657	3769	1205.5
G004101	9726	11655	14695	11445	12868	18093	664
G004102	1936	2022	2331	1876	1853	2404	564
G004103	1014	1020	1234	1109	987	1389	900
G004104	689	800	573	480	860	481	1264
G004105	8	0	0	0	0	0	3086
G004106	14	27	42	0	7	53	1543
G004107	0	0	0	0	0	0	906
G004108	0	0	0	0	0	0	1801
G004109	157	154	189	195	150	164	987
G004110	206	159	245	239	154	198	811
G004111	59586	68813	28318	23213	73061	29734	576
G004112	3033	2783	2454	2184	3027	3225	630
G004113	1186	1674	2268	1461	1798	1785	603
G004114	739	781	1176	1093	1613	999	1567.5
G004115	1335	1386	3016	2392	1885	2143	684
G004116	0	0	0	0	0	0	1738
G004117	0	7	0	1	3	9	3173
G004118	0	14	0	0	0	0	2005.5
G004119	0	0	1	0	0	3	2600
G004120	17	0	0	0	0	0	2411
G004121	0	67	21	26	0	49	2677
G004122	84	14	102	58	93	62	1503
G004123	0	0	0	0	0	0	2653
G004124	0	0	0	0	1	2	1493
G004125	0	0	0	0	0	0	1626
G004126	73	76	202	78	120	158	913.5
G004127	1775	2067	1798	1241	1519	1942	697
G004128	316	386	480	383	429	433	1349.5
G004129	493	486	721	586	740	440	1082
G004130	2493	2815	3951	2708	5076	3484	2905
G004131	38	7	13	14	13	11	612
G004132	485	519	1932	1653	763	1748	629
G004133	0	0	0	0	0	0	2761
G004134	0	0	0	0	0	0	1403
HK00011	2185	2641	2992	3169	2269	3711	1119
G004135	458	506	588	645	612	508	2384.5
G004136	210	273	119	132	154	186	2752
G004137	11	32	37	56	0	90	1961
G004138	1318	1815	5915	3502	1982	5581	745.5
G004139	465	597	2226	1882	708	2313	682
G004140	3185	3608	4860	3977	4723	4424	617
G004141	0	1	0	0	0	5	2569
G004142	1654	1803	6040	4818	2312	6319	872.5
G004143	1280	1482	167	201	2513	145	564
G004144	2852	3111	3973	2748	3942	3853	2631
G004145	3975	5527	5606	5574	3939	7859	660
G004146	0	1	11	0	21	3	1474
G004147	203	408	370	138	656	308	1031
G004148	0	0	0	0	0	0	2455
G004149	7605	7761	10126	8304	9037	11372	1476
G004150	9	0	0	0	0	0	1924
G004151	290	364	512	282	711	355	2075
G004152	1138	1168	1150	665	1805	626	1235
G004153	950	1256	1672	1185	1615	1922	1152
G004154	4381	5402	4609	3594	5030	6801	1926
G004155	0	0	0	0	0	5	1561
G004156	11	0	6	71	13	14	1251.5
G004157	926	624	1129	1030	958	636	764
G004158	0	0	0	0	0	0	414
G004159	335	612	705	477	1105	633	1052
G004160	0	0	0	0	0	0	816
G004161	0	0	11	0	19	4	1224.5
G004162	1263	1255	3303	2268	1233	3486	925
G004163	33	8	12	0	41	6	572
G004164	3341	4901	3152	2645	3620	4015	775
G004165	2645	2660	8724	5266	3757	6220	1896
G004166	1380	2284	4679	3297	1912	5101	579.5
G004167	33	37	10	0	55	0	768
G004168	650	788	1458	715	1351	1111	2012
G004169	2374	3210	2013	1641	2871	2825	1078
G004170	322	550	608	401	408	796	838
G004171	37	67	72	7	82	38	757
G004172	360	373	536	218	588	355	793
G004173	310	278	401	306	389	463	910
G004174	1	0	0	0	29	0	709.5
G004175	735	976	2033	1119	1750	1199	2700
G004176	465	822	733	644	860	723	1241.5
G004177	34	40	391	209	165	414	1376.5
G004178	4986	5708	5930	4974	5639	6736	717.5
G004179	300	292	883	617	393	592	677
G004180	2884	2988	3668	3335	3262	4511	1140
G004181	1051	1244	2867	2028	1761	2684	747.5
G004182	389	314	704	729	438	613	758.5
G004183	494	898	1696	1030	1284	1444	638
G004184	1787	1524	2890	2319	2326	2514	1331
G004185	2162	1895	2760	2059	3153	1340	975
G004186	4550	4242	3845	2789	4878	3573	582
G004187	32	28	21	0	22	0	725
G004188	0	0	0	2	0	0	1302
G004189	3410	3913	2694	2359	2908	3411	745.5
G004190	330	366	243	356	332	304	1143
G004191	0	0	0	0	0	0	582
G004192	442	366	655	682	983	504	1483.5
G004193	0	0	0	0	0	0	2828
G004194	3195	2405	1953	2202	3311	2341	1223.5
G004195	205	291	459	280	318	330	1575
G004196	0	0	0	1	1	0	2468.5
G004197	460	287	175	141	389	123	656
G004198	0	0	1	40	0	12	2754
G004199	1531	1399	6378	3899	3057	5818	716
G004200	914	1458	980	881	1241	1132	611
G004201	463	467	765	460	625	731	1198
G004202	448	519	747	671	819	462	1672
G004203	6138	8233	5763	4821	6580	7884	684
G004204	723	865	510	507	676	743	945
G004205	0	0	6	0	0	0	1629
G004206	0	0	1	0	0	0	2015
G004207	188	253	235	114	357	152	923.5
G004208	0	0	0	0	0	0	568.5
G004209	118	160	232	117	216	120	1122
G004210	259	293	393	335	351	272	2059.5
G004211	0	0	0	0	0	0	1405
G004212	1957	1943	464	313	3037	350	713
G004213	1465	1976	2202	1831	1365	2820	795
G004214	1653	2479	1311	1143	1510	2871	908
G004215	39	145	192	190	100	137	1076.5
G004216	1305	1857	3920	2864	2122	3276	1452.5
G004217	846	878	1004	676	1268	985	1683
G004218	1449	2007	3623	2753	2647	3045	4507
G004219	838	960	1011	809	989	1113	1920
G004220	229	346	411	335	455	376	1037.5
G004221	0	0	0	0	14	0	1072
G004222	1231	1743	2600	2027	2266	2216	806.5
G004223	0	0	0	0	0	0	3239
G004224	2150	3342	1586	1634	2220	2367	805
G004225	1103	1309	1582	1337	1698	1720	865
G004226	761	678	1340	724	1276	600	686
G004227	1652	2286	1131	1085	3106	948	593
G004228	3541	3938	1660	1027	4894	1686	1596.5
G004229	1932	2394	2030	1863	2548	3041	760.5
G004230	0	0	11	0	0	0	2034.5
G004231	27	6	144	42	70	93	1129
G004232	213	210	288	143	204	317	990.5
G004233	22	50	14	0	51	13	728
G004234	169	282	15	73	308	6	768
G004235	1527	1371	1963	1215	1907	1580	627
G004236	289	336	372	279	362	489	1293.5
G004237	414	500	897	816	599	840	988
G004238	1233	1687	3196	2347	3015	2225	688
G004239	919	1098	3918	2539	1834	3112	735
G004240	0	0	2	0	0	0	479
G004241	3745	4008	2848	2558	4360	2844	2051
G004242	5511	7396	6670	5087	6489	7382	1716
G004243	130	50	123	122	144	71	2410
G004244	21	0	12	19	0	5	1303
G004245	839	948	672	830	916	907	762.5
G004246	525	549	473	461	340	512	1573
G004247	10401	15267	9974	9147	9066	15289	645.5
G004248	132	177	271	301	195	268	1218.5
G004249	167	257	412	151	306	636	690
G004250	6958	7472	6643	5062	9080	7824	781.5
G004251	3893	3964	2293	1639	6139	1352	3237
G004252	1419	1362	1983	1709	2745	1613	591
G004253	597	900	628	424	896	826	640.5
G004254	1113	1240	3198	1741	3311	1679	937
G004255	0	16	0	0	17	0	1448
G004256	206	299	210	100	466	160	769
G004257	562	666	1162	1073	679	946	1436.5
G004258	33	43	371	148	64	441	3410
G004259	1431	1779	2806	2116	1598	3419	1982
G004260	7025	9058	6409	4912	9137	7834	1096
G004261	1429	1740	2060	1631	2401	2218	1031
G004262	7	0	0	0	0	0	1022.5
G004263	160	181	702	479	251	482	571
G004264	663	751	852	546	616	814	692
G004265	442	585	66	76	543	131	782
G004266	2374	1904	5674	4230	3221	3267	4446
G004267	4100	4809	4312	3134	6325	3598	1139.5
G004268	226	232	127	123	299	115	1027
G004269	2843	2613	2277	2132	2624	2313	2054.5
G004270	0	0	0	0	0	0	981
G004271	90	142	107	57	113	104	3084.5
G004272	716	725	1055	493	783	588	2249
G004273	1032	929	1070	1236	1250	1068	756.5
G004274	0	0	0	0	0	0	2689
G004275	0	0	0	0	0	4	1632
G004276	123	97	115	83	135	80	1997
G004277	3690	4478	5855	5545	3944	6189	736
G004278	96	248	138	70	283	119	1054
G004279	336	295	303	397	318	283	1572
G004280	34	37	59	42	47	60	2167
G004281	1032	1070	1164	1332	975	1166	873
G004282	25	21	88	45	11	76	2136
G004283	903	758	1121	887	1058	895	2140
G004284	1599	2128	2002	1666	2018	1787	721
G004285	820	724	925	802	888	887	572
G004286	63	60	11	71	108	26	1817
G004287	704	791	766	866	817	1300	1578
G004288	2226	1944	2661	1857	2926	1909	1885.5
G004289	1063	1085	2168	2042	946	2527	1636
G004290	891	1146	784	604	792	1223	755
G004291	9	17	5	0	5	9	1560
G004292	208	216	482	386	295	529	3781
G004293	610	620	1078	822	863	913	587
G004294	94	88	67	107	182	88	6168
G004295	75	24	35	50	24	24	822
G004296	28	44	15	44	22	31	3254
G004297	7094	9121	10912	7898	9105	9504	612
G004298	333	259	212	191	484	195	3778
G004299	103	77	0	0	42	0	714
G004300	452	441	1136	773	988	822	836
G004301	873	737	328	392	928	208	2332
G004302	134	321	693	448	357	411	1842
G004303	16249	14147	32772	27790	21931	28305	2384
G004304	3476	3822	3104	3433	2985	3663	903.5
G004305	378	316	709	529	674	701	2276
G004306	166	122	48	122	210	32	4069
G004307	323	392	909	584	496	575	2353
G004308	3444	3965	2984	2748	3277	4172	701
G004309	4246	4666	3139	2114	5918	2885	2714
G004310	2486	2967	2705	2236	2442	3842	715
G004311	1065	1016	2333	1500	2244	1510	784
G004312	1612	1686	2847	2361	2278	2413	1109.5
G004313	890	776	662	698	819	627	1163
G004314	1170	1187	1246	1020	1197	1225	979
G004315	1051	1251	3372	2220	1345	2235	2621
G004316	0	0	3	0	0	0	740
G004317	1411	1578	2654	2032	3444	1966	1968.5
G004318	81	146	217	129	104	162	2732
G004319	663	654	594	505	628	709	944
G004320	25762	28562	42746	37123	33939	65097	900
G004321	778	924	1166	1038	1014	935	1151
G004322	684	927	1376	786	1178	963	740
G004323	3	37	143	96	25	122	1469
G004324	4431	5686	9993	7403	7371	10412	1099.5
G004325	418	322	369	250	278	232	3852
G004326	296	452	642	359	694	372	1199.5
G004327	0	9	0	0	0	0	913
G004328	3380	4632	3556	2812	2902	4706	745
G004329	161	159	89	64	101	133	827
G004330	58	114	114	112	78	111	561
G004331	0	0	0	0	1	1	1074
G004332	578	867	927	393	1174	727	1328
G004333	9	0	6	0	10	0	4756
G004334	0	53	268	152	86	178	713
G004335	611	590	1224	1163	565	1196	1079
G004336	0	0	0	0	0	4	623
G004337	345	485	619	532	642	400	563.5
G004338	1715	1954	1849	1115	3591	990	5768
G004339	76	160	255	304	120	249	904
G004340	2697	3652	1706	1612	2600	2048	709.5
G004341	1714	1691	2768	2480	1896	2136	762
G004342	1227	1746	1469	1346	1572	2086	1608
G004343	2843	2720	3641	2957	3064	2997	1343.5
G004344	35	22	0	0	0	0	1926
G004345	24	92	30	52	134	34	1647
G004346	0	0	3	4	20	0	1273.5
G004347	2733	3602	4584	3843	3450	6173	1786
G004348	4392	5057	4487	3638	4358	4946	1509
G004349	546	867	582	310	733	452	769
G004350	7249	7707	10493	10503	8062	13149	2067
G004351	0	0	0	0	0	0	1659
G004352	401	309	47	45	416	48	1517
G004353	22	27	3	8	28	8	2651
G004354	0	0	0	0	0	0	799
G004355	209	223	317	226	319	213	10151
G004356	134	149	248	250	149	276	2534.5
G004357	5804	6762	4216	4663	4614	6213	531
G004358	86	127	140	9	130	137	752.5
G004359	276	369	385	237	557	557	779
G004360	2194	1871	1960	1603	2261	1811	1298.5
G004361	741	557	725	534	624	644	1290
G004362	680	724	579	479	606	661	1047
G004363	628	600	492	352	542	519	718
G004364	33	33	6	7	25	5	1435
G004365	63	56	33	0	48	7	2290
G004366	0	0	0	10	0	0	1436
G004367	9248	9866	17170	12409	16802	12613	3332
G004368	4366	4475	3951	3787	3918	3997	1463.5
G004369	6333	8770	9738	7756	8605	10023	2114.5
G004370	1048	881	759	618	809	768	1308.5
G004371	190	148	59	16	103	87	2201.5
G004372	34	68	73	87	51	78	856
G004373	246	224	1206	445	491	806	603
G004374	610	506	430	354	424	642	565
G004375	0	0	0	0	0	0	1270
G004376	1787	2490	3633	2337	3647	2234	3974.5
G004377	0	0	10	0	0	0	1046
G004378	50	73	380	381	150	525	589
G004379	1611	2173	2510	1695	2052	1847	720
G004380	1803	2045	2792	2054	2026	1897	1458.5
G004381	2328	2725	2630	2357	2710	3273	1703.5
G004382	0	0	0	0	0	0	588
G004383	0	0	0	0	0	0	703.5
G004384	556	1060	808	791	994	1064	864
G004385	9627	8839	19376	13602	16233	9752	3720
G004386	2192	2823	3973	3203	3652	3907	2029
G004387	2619	3870	5603	3344	5488	4601	693
G004388	412	361	502	379	724	381	3844
G004389	1	35	44	49	57	69	5082.5
G004390	121	323	225	213	224	182	777
G004391	1224	1698	1062	739	1306	1245	878
G004392	3369	3774	2187	2256	3443	2903	846
G004393	232	200	282	124	217	162	1392
G004394	94	155	173	79	386	154	718
G004395	2685	3072	5584	3579	5553	3635	694
G004396	0	0	0	21	0	0	1156
G004397	117	99	12	0	165	12	1099
G004398	10878	12377	15543	11193	11291	18425	1777
G004399	1225	1224	1213	1020	1243	1232	702
G004400	0	0	0	0	0	5	1143
G004401	1816	2128	2269	1517	3089	2236	777.5
G004402	206	214	211	241	292	200	1469
G004403	1216	1574	2599	1729	1852	2611	753.5
G004404	844	1234	795	300	1114	633	1355
G004405	50	48	0	0	38	0	852
G004406	6568	7638	9236	7226	9617	8969	625.5
G004407	570	758	574	582	760	706	640
G004408	736	837	1087	891	901	1084	596
G004409	354	440	605	779	454	849	662
G004410	1575	1980	1799	1221	2185	2031	1164
G004411	2298	3620	2484	2412	3210	3209	570
G004412	2367	2148	2433	1701	2990	1858	975
G004413	111	104	224	165	148	174	1024
G004414	1177	1780	1879	1651	2221	1547	1009.5
G004415	219	167	1016	582	189	483	5800
G004416	0	22	4	15	0	8	804
G004417	0	0	0	0	0	0	1701.5
G004418	22	0	0	0	0	8	1816
G004419	0	0	16	1	13	0	1706.5
G004420	20	16	1	0	17	0	1055.5
G004421	0	0	0	0	0	0	1487
G004422	0	0	0	0	0	0	974.5
G004423	0	0	6	0	0	7	1749
G004424	0	0	0	0	0	0	1238.5
G004425	0	0	0	0	0	0	584
G004426	1187	1174	953	905	1275	1313	1496.5
G004427	1060	1018	1837	1772	1151	1892	873
G004428	1352	1418	1165	1230	1707	1286	1607
G004429	1610	1953	1584	1312	1746	1836	701
G004430	272	312	465	374	335	473	806
G004431	494	649	488	476	514	642	1243
G004432	0	0	0	0	0	0	2032
G004433	15683	13994	17403	14087	20488	13171	598
G004434	2353	2854	1624	1146	2248	1850	824
G004435	215	213	533	291	399	612	1516.5
G004436	1818	2125	2207	1777	2076	2023	780
G004437	0	0	0	0	0	0	1797
G004438	0	0	0	0	0	0	600
G004439	938	1298	604	479	1066	482	992.5
G004440	477	561	1099	531	613	715	681
G004441	684	794	793	687	877	902	1751
G004442	2926	3472	9064	7686	3414	11127	1548
G004443	1733	1677	4383	2868	3202	2011	580
